layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
-1,smokeA_length_only,all,109,55,54,203,0.9421875,0.4868882053586212,0.5492781690220254,0.01639344262295082,,,,60,20
27,smokeA_full,all,109,55,54,203,0.6921875,0.49179899930940196,0.5644740538475541,0.01639344262295082,,,,60,20
27,smokeA_tercile,all,36,18,18,203,0.5200000000000001,0.4996800595238095,0.6313482142857143,0.47540983606557374,0.9049999999999999,,,60,20
27,smokeA_tercile_group,0,,,,,0.5200000000000001,,,,0.9049999999999999,,,60,20
27,smokeA_tercile_resid,all,36,18,18,203,0.47000000000000003,0.4790294312169312,0.5827589285714284,0.5245901639344263,0.9049999999999999,,,60,20
27,smokeA_tercile_resid_group,0,,,,,0.47000000000000003,,,,0.9049999999999999,,,60,20
27,smokeA_matched,all,108,54,54,203,0.703125,0.510234375,0.59546875,0.01639344262295082,0.928125,,,60,20
27,smokeA_matched_group,0,,,,,0.703125,,,,0.928125,,,60,20
27,smokeA_residualized,all,109,55,54,203,0.6328125,0.48986322528374365,0.5584593484162466,0.01639344262295082,,,,60,20
-1,smokeB_length_only,all,109,51,58,203,0.5763725490196079,0.49525146058777564,0.5954388113230508,0.08196721311475409,,,,60,20
27,smokeB_full,all,109,51,58,203,1.0,0.5038594744370547,0.5722094678680881,0.01639344262295082,,,,60,20
27,smokeB_tercile,all,109,51,58,203,1.0,0.49866501322751317,0.5952967923280423,0.01639344262295082,0.5654166666666668,,,60,20
27,smokeB_tercile_group,0,,,,,1.0,,,,0.6583333333333334,,,60,20
27,smokeB_tercile_group,1,,,,,1.0,,,,0.4645833333333334,,,60,20
27,smokeB_tercile_group,2,,,,,1.0,,,,0.5733333333333335,,,60,20
27,smokeB_tercile_resid,all,109,51,58,203,0.9983333333333334,0.4958439472523902,0.5795596891534391,0.01639344262295082,0.5654166666666668,,,60,20
27,smokeB_tercile_resid_group,0,,,,,1.0,,,,0.6583333333333334,,,60,20
27,smokeB_tercile_resid_group,1,,,,,1.0,,,,0.4645833333333334,,,60,20
27,smokeB_tercile_resid_group,2,,,,,0.9949999999999999,,,,0.5733333333333335,,,60,20
27,smokeB_matched,all,102,51,51,203,1.0,0.4829166666666666,0.5769999999999998,0.01639344262295082,0.61,,,60,20
27,smokeB_matched_group,0,,,,,1.0,,,,0.61,,,60,20
27,smokeB_residualized,all,109,51,58,203,1.0,0.49843709746965786,0.5666292463126827,0.01639344262295082,,,,60,20
