n_per_arm,form,interval,gap_w3,mean_obs_gap_if_mixture,mean_obs_gap_if_annotation,mean_gap_pred,P_C1_if_mixture,P_C2_if_annotation,distinguishing_power
100,A,PI-T,0.016599,0.135295,0.017275,0.134894,0.954,0.4705,0.4705
100,A,PI-O,0.016599,0.135295,0.017275,0.134903,0.996,0.184,0.184
100,B,PI-T,0.120001,0.29598,0.11962,0.298088,0.9285,0.7745,0.7745
100,B,PI-O,0.120001,0.29598,0.11962,0.298083,0.9955,0.483,0.483
150,A,PI-T,0.016599,0.133943,0.01683,0.135598,0.981,0.486,0.486
150,A,PI-O,0.016599,0.133943,0.01683,0.135601,0.9975,0.221,0.221
150,B,PI-T,0.120001,0.296183,0.118843,0.29802,0.973,0.851,0.851
150,B,PI-O,0.120001,0.296183,0.118843,0.298024,0.9985,0.6185,0.6185
200,A,PI-T,0.016599,0.134868,0.015023,0.136236,0.9895,0.5105,0.5105
200,A,PI-O,0.016599,0.134868,0.015023,0.136238,0.998,0.253,0.253
200,B,PI-T,0.120001,0.29768,0.12086,0.296865,0.9845,0.882,0.882
200,B,PI-O,0.120001,0.29768,0.12086,0.296876,0.9995,0.6885,0.6885
250,A,PI-T,0.016599,0.135822,0.015502,0.134342,0.9975,0.5225,0.5225
250,A,PI-O,0.016599,0.135822,0.015502,0.134352,1.0,0.2775,0.2775
250,B,PI-T,0.120001,0.296894,0.120282,0.295118,0.995,0.9125,0.9125
250,B,PI-O,0.120001,0.296894,0.120282,0.295126,0.9995,0.777,0.777
300,A,PI-T,0.016599,0.13634,0.016638,0.136482,0.997,0.515,0.515
300,A,PI-O,0.016599,0.13634,0.016638,0.136483,0.9995,0.281,0.281
300,B,PI-T,0.120001,0.29643,0.121257,0.296055,0.9985,0.933,0.933
300,B,PI-O,0.120001,0.29643,0.121257,0.29605,0.9995,0.822,0.822
400,A,PI-T,0.016599,0.136355,0.016178,0.136684,0.9985,0.528,0.528
400,A,PI-O,0.016599,0.136355,0.016178,0.136684,1.0,0.3175,0.3175
400,B,PI-T,0.120001,0.297554,0.121356,0.297415,0.999,0.958,0.958
400,B,PI-O,0.120001,0.297554,0.121356,0.297412,1.0,0.889,0.889
