form,assumed_p_a,assumed_p_b,gap_pred,pred_lo,pred_hi,gap_observed,observed_inside,note
A,0.9,0.98,0.228547,0.100586,0.354475,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.85,0.85,0.13615,0.014287,0.258396,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.8,0.9,0.14402,0.022203,0.26384,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.9,0.9,0.183984,0.059141,0.308346,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.95,0.95,0.231818,0.10217,0.359401,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.75,0.85,0.096187,-0.021318,0.212367,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.7,0.85,0.076205,-0.039572,0.191926,0.186667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
A,0.5467,0.8067,-0.009179,-0.120993,0.102735,0.186667,False,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.9,0.98,0.384639,0.264972,0.501292,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.85,0.85,0.296514,0.181129,0.409364,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.8,0.9,0.294874,0.178489,0.407801,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.9,0.9,0.346201,0.229342,0.460605,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.95,0.95,0.395888,0.275741,0.512406,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.75,0.85,0.245186,0.131098,0.356867,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.7,0.85,0.219523,0.106742,0.331095,0.286667,True,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
B,0.5467,0.8067,0.120034,0.006916,0.232583,0.286667,False,CONDITIONAL ON AN ASSUMPTION — not PR-007's test
