family,layer,alignment,bin,bin_label,n_traces,n_pos,n_neg,bacc,null_p95,null_p99,null_p995,null_mean,p_value
primary,21,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5437,0.5541,0.5854,0.5962,0.4991,0.0938
primary,21,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5397,0.5561,0.5822,0.5879,0.4992,0.1138
primary,21,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5276,0.5582,0.5809,0.5852,0.5016,0.2455
primary,21,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5652,0.5589,0.5775,0.5891,0.5018,0.0279
primary,21,a,4,"decile 4 [0.4,0.5)",238,86,152,0.5403,0.5589,0.5807,0.5853,0.5004,0.1238
primary,21,a,5,"decile 5 [0.5,0.6)",238,86,152,0.531,0.5532,0.5732,0.5816,0.5006,0.1717
primary,21,a,6,"decile 6 [0.6,0.7)",238,86,152,0.5382,0.5555,0.5813,0.5916,0.5005,0.1257
primary,21,a,7,"decile 7 [0.7,0.8)",238,86,152,0.5696,0.5552,0.5832,0.5897,0.4987,0.0259
primary,21,a,8,"decile 8 [0.8,0.9)",238,86,152,0.5591,0.5658,0.5856,0.5959,0.5009,0.0699
primary,21,a,9,"decile 9 [0.9,1.0)",238,86,152,0.62,0.5558,0.5758,0.581,0.4991,0.002
primary,21,b,0,"[-250,-225)",167,69,98,0.4306,0.572,0.5945,0.601,0.5018,0.9581
primary,21,b,1,"[-225,-200)",167,69,98,0.5305,0.5597,0.5831,0.5892,0.4987,0.1996
primary,21,b,2,"[-200,-175)",167,69,98,0.4889,0.5665,0.5874,0.603,0.497,0.5589
primary,21,b,3,"[-175,-150)",167,69,98,0.4569,0.5651,0.5872,0.5935,0.4962,0.8303
primary,21,b,4,"[-150,-125)",167,69,98,0.4883,0.5732,0.5971,0.6061,0.5002,0.6088
primary,21,b,5,"[-125,-100)",167,69,98,0.539,0.562,0.5866,0.5925,0.4976,0.1577
primary,21,b,6,"[-100,-75)",167,69,98,0.5111,0.5678,0.5913,0.6044,0.4983,0.3752
primary,21,b,7,"[-75,-50)",167,69,98,0.5691,0.5657,0.5893,0.6014,0.5005,0.0399
primary,21,b,8,"[-50,-25)",167,69,98,0.5131,0.5646,0.6064,0.6094,0.5003,0.3713
primary,21,b,9,"[-25,+0)",167,69,98,0.547,0.5663,0.5964,0.5987,0.5018,0.1178
primary,21,b,10,"[+0,+25)",167,69,98,0.5376,0.5737,0.5964,0.6095,0.5009,0.2056
primary,21,b,11,"[+25,+50)",36,15,21,0.4771,0.6326,0.7055,0.719,0.4958,0.5569
primary,23,a,0,"decile 0 [0.0,0.1)",238,86,152,0.5427,0.5532,0.5848,0.6001,0.4992,0.0998
primary,23,a,1,"decile 1 [0.1,0.2)",238,86,152,0.5362,0.5541,0.5789,0.5904,0.499,0.1417
primary,23,a,2,"decile 2 [0.2,0.3)",238,86,152,0.5216,0.5571,0.5831,0.5875,0.5013,0.2914
primary,23,a,3,"decile 3 [0.3,0.4)",238,86,152,0.5679,0.5601,0.5722,0.5825,0.5016,0.0279
