family,layer,alignment,bin,bin_label,n_traces,n_pos,n_neg,bacc,null_p95,null_p99,null_p995,null_mean,p_value
primary,21,c,0,"[0,25) tokens into the trace",238,86,152,0.497,0.5564,0.5812,0.5934,0.5008,0.5509
primary,21,c,1,"[25,50) tokens into the trace",238,86,152,0.5328,0.554,0.5764,0.5926,0.5021,0.1557
primary,21,c,2,"[50,75) tokens into the trace",238,86,152,0.5326,0.5561,0.5794,0.5804,0.5031,0.2056
primary,21,c,3,"[75,100) tokens into the trace",238,86,152,0.5206,0.5592,0.5823,0.5861,0.5017,0.2794
primary,23,c,0,"[0,25) tokens into the trace",238,86,152,0.5015,0.5589,0.5796,0.5913,0.5011,0.507
primary,23,c,1,"[25,50) tokens into the trace",238,86,152,0.5342,0.5532,0.5834,0.5909,0.5019,0.1497
primary,23,c,2,"[50,75) tokens into the trace",238,86,152,0.527,0.554,0.5751,0.5862,0.503,0.2415
primary,23,c,3,"[75,100) tokens into the trace",238,86,152,0.5126,0.5614,0.5815,0.5845,0.5015,0.3693
primary,25,c,0,"[0,25) tokens into the trace",238,86,152,0.5011,0.5537,0.5791,0.5968,0.5008,0.509
primary,25,c,1,"[25,50) tokens into the trace",238,86,152,0.5293,0.556,0.58,0.5899,0.5025,0.1836
primary,25,c,2,"[50,75) tokens into the trace",238,86,152,0.5266,0.5558,0.5759,0.5797,0.5026,0.2395
primary,25,c,3,"[75,100) tokens into the trace",238,86,152,0.5136,0.5588,0.5781,0.5817,0.5012,0.3533
primary,27,c,0,"[0,25) tokens into the trace",238,86,152,0.504,0.5529,0.5803,0.5956,0.5012,0.4731
primary,27,c,1,"[25,50) tokens into the trace",238,86,152,0.523,0.556,0.5826,0.587,0.5024,0.2435
primary,27,c,2,"[50,75) tokens into the trace",238,86,152,0.525,0.5547,0.5791,0.5821,0.5027,0.2495
primary,27,c,3,"[75,100) tokens into the trace",238,86,152,0.5149,0.5584,0.5755,0.5826,0.5009,0.3433
primary,29,c,0,"[0,25) tokens into the trace",238,86,152,0.5047,0.5538,0.5808,0.5966,0.5008,0.4591
primary,29,c,1,"[25,50) tokens into the trace",238,86,152,0.5277,0.5548,0.5868,0.5903,0.5023,0.1876
primary,29,c,2,"[50,75) tokens into the trace",238,86,152,0.523,0.5539,0.5773,0.5828,0.5028,0.2834
primary,29,c,3,"[75,100) tokens into the trace",238,86,152,0.5084,0.5594,0.574,0.5824,0.501,0.4152
primary,31,c,0,"[0,25) tokens into the trace",238,86,152,0.5001,0.5536,0.5773,0.6005,0.501,0.507
primary,31,c,1,"[25,50) tokens into the trace",238,86,152,0.5269,0.5583,0.5799,0.5895,0.5023,0.1976
primary,31,c,2,"[50,75) tokens into the trace",238,86,152,0.5156,0.5549,0.5735,0.5797,0.5032,0.3673
primary,31,c,3,"[75,100) tokens into the trace",238,86,152,0.5135,0.5588,0.5748,0.5862,0.501,0.3633
primary,33,c,0,"[0,25) tokens into the trace",238,86,152,0.4964,0.5532,0.5759,0.5972,0.5007,0.5649
primary,33,c,1,"[25,50) tokens into the trace",238,86,152,0.524,0.5534,0.5794,0.5854,0.5026,0.2255
primary,33,c,2,"[50,75) tokens into the trace",238,86,152,0.5073,0.5561,0.5742,0.5819,0.5032,0.4651
primary,33,c,3,"[75,100) tokens into the trace",238,86,152,0.5101,0.5557,0.5766,0.5855,0.5006,0.3852
primary,35,c,0,"[0,25) tokens into the trace",238,86,152,0.4973,0.5533,0.5742,0.5982,0.5005,0.5429
primary,35,c,1,"[25,50) tokens into the trace",238,86,152,0.5278,0.5531,0.5776,0.586,0.5026,0.1976
primary,35,c,2,"[50,75) tokens into the trace",238,86,152,0.5063,0.5574,0.5737,0.5854,0.5033,0.491
primary,35,c,3,"[75,100) tokens into the trace",238,86,152,0.5215,0.5563,0.5767,0.5901,0.5009,0.2754
control_arm,21,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.5512,0.5829,0.5843,0.502,0.5329
control_arm,21,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.5528,0.5812,0.5908,0.5022,0.523
control_arm,21,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5582,0.573,0.575,0.5023,0.5429
control_arm,21,c,3,"[75,100) tokens into the trace",238,113,125,0.5,0.5544,0.5836,0.5904,0.5018,0.523
control_arm,23,c,0,"[0,25) tokens into the trace",238,113,125,0.5,0.5527,0.58,0.5834,0.502,0.5509
control_arm,23,c,1,"[25,50) tokens into the trace",238,113,125,0.5,0.5532,0.5795,0.5869,0.5019,0.5369
control_arm,23,c,2,"[50,75) tokens into the trace",238,113,125,0.5,0.5552,0.5763,0.5791,0.502,0.5409
