arm,trace_i,seed,phat,n_gen,belief_gen_pos,settle_pos,cut_point
above_good,0,7064,1,311,,0,
above_good,2,7066,-1,281,,235,
above_good,3,7067,1,414,,0,
above_good,4,7068,1,379,347,205,204
above_good,5,7069,1,422,417,0,
above_good,8,7072,-1,640,,537,
above_good,9,7073,-1,563,,503,
above_good,12,7076,1,326,300,0,
above_good,13,7077,1,321,314,0,
above_good,15,7079,1,372,,0,
above_good,16,7080,1,346,314,315,289
above_good,18,7082,-1,459,,435,
above_good,19,7083,1,551,,220,
above_good,20,7084,1,314,312,252,251
above_good,21,7085,1,492,,73,
above_good,23,7087,1,332,330,205,204
above_good,25,7089,1,483,,0,
above_good,26,7090,1,444,396,0,
above_good,28,7092,1,326,297,0,
above_good,29,7093,1,386,294,301,269
above_good,31,7095,1,403,,0,
above_good,32,7096,1,366,333,0,
above_good,33,7097,1,513,317,426,292
above_good,34,7098,1,287,285,225,224
above_good,35,7099,-1,409,,362,
above_good,36,7100,-1,789,,350,
above_good,38,7102,1,394,366,0,
above_good,40,7104,1,588,,526,
above_good,41,7105,-1,430,,338,
above_good,42,7106,1,353,351,324,323
above_good,44,7108,-1,769,321,742,296
above_good,46,7110,-1,524,,441,
above_good,47,7111,-1,343,310,0,
above_good,49,7113,1,443,436,353,352
above_good,50,7114,1,507,468,0,
above_good,51,7115,1,405,401,365,364
above_good,52,7116,1,293,264,0,
above_good,53,7117,1,360,353,287,286
above_good,54,7118,-1,303,296,0,
above_good,56,7120,1,343,308,0,
above_good,57,7121,1,626,,601,
above_good,59,7123,1,498,,0,
above_good,61,7125,-1,641,,613,
above_good,62,7126,1,374,372,238,237
above_good,63,7127,1,391,381,0,
above_good,64,7128,-1,675,,639,
above_good,65,7129,-1,494,,405,
above_good,66,7130,1,660,644,492,491
above_good,67,7131,1,477,470,394,393
above_good,69,7133,1,469,461,277,276
above_good,70,7134,-1,924,,885,
above_good,72,7136,1,416,414,314,313
above_good,73,7137,-1,337,335,270,269
above_good,74,7138,1,382,375,275,274
above_good,75,7139,1,372,360,275,274
above_good,77,7141,1,302,293,0,
above_good,79,7143,1,294,288,199,198
above_good,80,7144,1,331,,0,
above_good,81,7145,-1,349,340,169,168
above_good,82,7146,-1,420,,404,
above_good,83,7147,1,387,382,289,288
above_good,85,7149,1,371,369,0,
above_good,86,7150,1,493,491,418,417
above_good,87,7151,1,408,323,301,298
above_good,89,7153,-1,400,398,332,331
above_good,90,7154,1,368,362,280,279
above_good,91,7155,-1,625,,609,
above_good,92,7156,1,357,346,171,170
above_good,93,7157,1,467,435,0,
above_good,95,7159,-1,378,,0,
above_good,96,7160,1,378,376,290,289
above_good,97,7161,1,494,,264,
above_good,99,7163,-1,343,336,0,
above_good,100,7164,1,434,427,310,309
above_good,102,7166,-1,371,,0,
above_good,104,7168,1,401,396,0,
above_good,105,7169,1,464,462,445,437
above_good,107,7171,1,445,,0,
above_good,108,7172,1,370,,0,
above_good,109,7173,-1,360,354,0,
above_good,110,7174,1,474,472,360,359
above_good,111,7175,1,427,425,401,400
above_good,112,7176,1,450,448,364,363
above_good,114,7178,1,381,379,280,279
above_good,115,7179,1,339,320,0,
above_good,116,7180,-1,689,,559,
above_good,117,7181,1,551,545,516,515
above_good,118,7182,-1,593,,555,
above_good,119,7183,-1,722,,689,
above_good,120,7184,1,513,,0,
above_good,121,7185,-1,1073,,1005,
above_good,122,7186,1,379,367,0,
above_good,123,7187,1,287,285,0,
above_good,124,7188,1,360,358,285,284
above_good,126,7190,1,357,350,230,229
above_good,128,7192,1,347,340,0,
above_good,129,7193,1,331,290,185,184
above_good,130,7194,1,388,382,0,
above_good,131,7195,-1,376,350,0,
above_good,132,7196,1,358,353,0,
above_good,133,7197,1,402,400,305,304
above_good,135,7199,1,346,339,252,251
above_good,136,7200,1,389,382,361,357
above_good,137,7201,1,506,504,467,466
above_good,138,7202,1,280,278,210,209
above_good,140,7204,1,353,351,250,249
above_good,141,7205,1,434,,393,
above_good,142,7206,1,397,390,0,
above_good,144,7208,1,372,366,301,300
above_good,145,7209,1,319,311,210,209
above_good,146,7210,-1,357,347,0,
above_good,148,7212,-1,674,,607,
above_good,149,7213,1,392,,0,
below_good,0,6064,1,341,338,237,236
below_good,2,6066,-1,476,428,375,374
below_good,4,6068,-1,614,558,555,533
below_good,5,6069,-1,333,326,0,
below_good,6,6070,-1,428,423,213,212
below_good,7,6071,-1,401,,0,
below_good,10,6074,-1,448,446,384,383
below_good,11,6075,-1,739,,679,
below_good,12,6076,-1,327,319,0,
below_good,13,6077,-1,393,,384,
below_good,15,6079,-1,431,,411,
below_good,16,6080,-1,617,507,580,482
below_good,18,6082,-1,327,304,0,
below_good,19,6083,-1,353,347,325,322
below_good,20,6084,-1,372,370,214,213
below_good,22,6086,-1,409,356,0,
below_good,23,6087,-1,449,390,0,
below_good,24,6088,-1,268,262,209,208
below_good,25,6089,-1,634,632,573,572
