arm,trace_i,seed,phat,n_gen,belief_gen_pos,flip_pos,flip_pos_strict,flip_to,n_est_post_flip,post_flip_estimates,score_start,score_end,settle_pos,cut_point
above_good,0,7064,1,311,,,,,0,,0.4807,0.5882,178,
above_good,2,7066,-1,281,,,,,0,,0.507,0.4158,0,
above_good,3,7067,1,414,,,,,0,,0.4572,0.546,128,
above_good,4,7068,1,379,347,,,,0,,0.4829,0.5639,113,112
above_good,5,7069,1,422,417,,,,0,,0.4483,0.5685,124,123
above_good,8,7072,-1,640,,,,,0,,0.4763,0.41,169,
above_good,9,7073,-1,563,,,,,0,,0.5007,0.413,299,
above_good,12,7076,1,326,300,,,,0,,0.4888,0.5735,167,166
above_good,13,7077,1,321,314,,,,0,,0.4814,0.5633,128,127
above_good,15,7079,1,372,,,,,0,,0.4953,0.578,213,
above_good,16,7080,1,346,314,,,,0,,0.4921,0.5548,56,55
above_good,18,7082,-1,459,,,,,0,,0.483,0.3894,183,
above_good,19,7083,1,551,,,,,0,,0.4447,0.5811,320,
above_good,20,7084,1,314,312,,,,0,,0.4913,0.6012,204,203
above_good,21,7085,1,492,,,,,0,,0.4614,0.5727,275,
above_good,23,7087,1,332,330,,,,0,,0.4955,0.5935,219,218
above_good,25,7089,1,483,,,,,0,,0.4611,0.5426,0,
above_good,26,7090,1,444,396,,,,0,,0.4835,0.5965,285,284
above_good,28,7092,1,326,297,,,,0,,0.4948,0.5767,184,183
above_good,29,7093,1,386,294,,,,0,,0.4775,0.5758,126,125
above_good,31,7095,1,403,,,,,0,,0.4888,0.538,132,
above_good,32,7096,1,366,333,,,,0,,0.5015,0.5811,222,221
above_good,33,7097,1,513,317,,,,0,,0.4832,0.5897,196,195
above_good,34,7098,1,287,285,,,,0,,0.4948,0.59,174,173
above_good,35,7099,-1,409,,,,,0,,0.4551,0.4254,0,
above_good,36,7100,-1,789,,,,,0,,0.4901,0.3743,448,
above_good,38,7102,1,394,366,,,,0,,0.4939,0.5655,218,217
above_good,40,7104,1,588,,,,,0,,0.4884,0.5809,348,
above_good,41,7105,-1,430,,,,,0,,0.4983,0.4262,0,
above_good,42,7106,1,353,351,,,,0,,0.4868,0.5955,241,240
above_good,44,7108,-1,769,321,,,,0,,0.4318,0.4173,204,203
above_good,46,7110,-1,524,,,,,0,,0.4786,0.4275,0,
above_good,47,7111,-1,343,310,,,,0,,0.4727,0.4047,201,200
above_good,49,7113,1,443,436,,,,0,,0.4677,0.5705,197,196
above_good,50,7114,1,507,468,,,,0,,0.4784,0.5795,356,355
above_good,51,7115,1,405,401,,,,0,,0.4803,0.535,0,
above_good,52,7116,1,293,264,,,,0,,0.4935,0.5742,154,153
above_good,53,7117,1,360,353,,,,0,,0.5199,0.6133,250,249
above_good,54,7118,-1,303,296,,,,0,,0.5159,0.3857,149,148
above_good,56,7120,1,343,308,,,,0,,0.4262,0.5695,171,170
above_good,57,7121,1,626,,,,,0,,0.5118,0.6052,369,
above_good,59,7123,1,498,,,,,0,,0.4567,0.576,288,
above_good,61,7125,-1,641,,,,,0,,0.478,0.3932,367,
above_good,62,7126,1,374,372,,,,0,,0.493,0.5785,198,197
above_good,63,7127,1,391,381,,,,0,,0.4859,0.5792,267,266
above_good,64,7128,-1,675,,,,,0,,0.4968,0.3899,393,
above_good,65,7129,-1,494,,,,,0,,0.5203,0.3954,285,
above_good,66,7130,1,660,644,,,,0,,0.4838,0.5895,540,539
above_good,67,7131,1,477,470,,,,0,,0.5033,0.5738,342,341
above_good,69,7133,1,469,461,,,,0,,0.5023,0.6015,309,308
above_good,70,7134,-1,924,,,,,0,,0.482,0.4073,520,
above_good,72,7136,1,416,414,,,,0,,0.4648,0.5946,302,301
above_good,73,7137,-1,337,335,,,,0,,0.5029,0.4202,0,
above_good,74,7138,1,382,375,,,,0,,0.4927,0.583,244,243
above_good,75,7139,1,372,360,,,,0,,0.5146,0.5622,243,242
above_good,77,7141,1,302,293,,,,0,,0.4924,0.603,190,189
above_good,79,7143,1,294,288,,,,0,,0.4751,0.6104,185,184
above_good,80,7144,1,331,,,,,0,,0.4727,0.5937,156,
above_good,81,7145,-1,349,340,,,,0,,0.5176,0.3972,224,223
above_good,82,7146,-1,420,,,,,0,,0.4837,0.3569,253,
above_good,83,7147,1,387,382,,,,0,,0.4725,0.5793,250,249
above_good,85,7149,1,371,369,,,,0,,0.507,0.5383,0,
above_good,86,7150,1,493,491,,,,0,,0.4945,0.607,393,392
above_good,87,7151,1,408,323,,,,0,,0.4963,0.5918,214,213
above_good,89,7153,-1,400,398,,,,0,,0.4808,0.3614,289,288
above_good,90,7154,1,368,362,,,,0,,0.5029,0.5756,251,250
above_good,91,7155,-1,625,,,,,0,,0.472,0.4077,201,
above_good,92,7156,1,357,346,,,,0,,0.4594,0.5705,227,226
above_good,93,7157,1,467,435,,,,0,,0.473,0.6051,327,326
above_good,95,7159,-1,378,,,,,0,,0.5108,0.3868,147,
above_good,96,7160,1,378,376,,,,0,,0.5005,0.6039,268,267
above_good,97,7161,1,494,,,,,0,,0.4975,0.5829,253,
above_good,99,7163,-1,343,336,,,,0,,0.4694,0.4305,0,
above_good,100,7164,1,434,427,,,,0,,0.514,0.5919,315,314
above_good,102,7166,-1,371,,,,,0,,0.5021,0.3884,208,
above_good,104,7168,1,401,396,,,,0,,0.4815,0.5382,0,
above_good,105,7169,1,464,462,,,,0,,0.4437,0.562,124,123
