layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
-1,length_only,all,109,79,30,203,0.6767361111111112,0.4995867200915499,0.591179979207539,0.000999000999000999,,,,1000,20
0,full,all,109,79,30,203,0.513888888888889,0.5011488292859758,0.5884073864641799,0.3806193806193806,,,,1000,20
0,tercile_resid,all,109,79,30,203,0.5219444444444444,0.49719994965064107,0.5707072301873966,0.26673326673326675,0.6391666666666667,,,1000,20
0,tercile_resid_group,0,,,,,0.5347222222222223,,,,0.5041666666666665,,,1000,20
0,tercile_resid_group,1,,,,,0.5277777777777779,,,,0.5916666666666668,,,1000,20
0,tercile_resid_group,2,,,,,0.5033333333333332,,,,0.8216666666666667,,,1000,20
1,full,all,109,79,30,203,0.5444444444444445,0.5011875540119898,0.5872519733185495,0.1998001998001998,,,,1000,20
1,tercile_resid,all,109,79,30,203,0.5162962962962963,0.4977540043326429,0.572759975749559,0.3386613386613387,0.6391666666666667,,,1000,20
1,tercile_resid_group,0,,,,,0.5097222222222222,,,,0.5041666666666665,,,1000,20
1,tercile_resid_group,1,,,,,0.4749999999999999,,,,0.5916666666666668,,,1000,20
1,tercile_resid_group,2,,,,,0.5641666666666667,,,,0.8216666666666667,,,1000,20
2,full,all,109,79,30,203,0.5638888888888888,0.5011043764332227,0.5810106607556194,0.1108891108891109,,,,1000,20
2,tercile_resid,all,109,79,30,203,0.5302777777777777,0.4973684960353256,0.5750821536866858,0.24475524475524477,0.6391666666666667,,,1000,20
2,tercile_resid_group,0,,,,,0.5222222222222223,,,,0.5041666666666665,,,1000,20
2,tercile_resid_group,1,,,,,0.5152777777777777,,,,0.5916666666666668,,,1000,20
2,tercile_resid_group,2,,,,,0.5533333333333333,,,,0.8216666666666667,,,1000,20
3,full,all,109,79,30,203,0.5604166666666667,0.5004166115885229,0.5873949763515992,0.1108891108891109,,,,1000,20
3,tercile_resid,all,109,79,30,203,0.5145370370370371,0.4978539253474295,0.5788288323045268,0.34565434565434566,0.6391666666666667,,,1000,20
3,tercile_resid_group,0,,,,,0.5722222222222223,,,,0.5041666666666665,,,1000,20
3,tercile_resid_group,1,,,,,0.46805555555555556,,,,0.5916666666666668,,,1000,20
3,tercile_resid_group,2,,,,,0.5033333333333333,,,,0.8216666666666667,,,1000,20
4,full,all,109,79,30,203,0.5802083333333333,0.5006186741086989,0.5863980497895402,0.06893106893106893,,,,1000,20
4,tercile_resid,all,109,79,30,203,0.5239814814814815,0.4984318449093975,0.5765223697747455,0.2787212787212787,0.6391666666666667,,,1000,20
4,tercile_resid_group,0,,,,,0.5847222222222223,,,,0.5041666666666665,,,1000,20
4,tercile_resid_group,1,,,,,0.5013888888888889,,,,0.5916666666666668,,,1000,20
4,tercile_resid_group,2,,,,,0.48583333333333334,,,,0.8216666666666667,,,1000,20
5,full,all,109,79,30,203,0.5701388888888889,0.5000010301496045,0.5823528585537955,0.0899100899100899,,,,1000,20
5,tercile_resid,all,109,79,30,203,0.5602777777777779,0.49795756202027847,0.5800593023840466,0.1008991008991009,0.6391666666666667,,,1000,20
5,tercile_resid_group,0,,,,,0.6138888888888889,,,,0.5041666666666665,,,1000,20
5,tercile_resid_group,1,,,,,0.5319444444444446,,,,0.5916666666666668,,,1000,20
5,tercile_resid_group,2,,,,,0.535,,,,0.8216666666666667,,,1000,20
6,full,all,109,79,30,203,0.5986111111111112,0.4995993563369572,0.5848800650261893,0.029970029970029972,,,,1000,20
6,tercile_resid,all,109,79,30,203,0.5745370370370371,0.49848516908124024,0.5862306916187527,0.07092907092907093,0.6391666666666667,,,1000,20
6,tercile_resid_group,0,,,,,0.6138888888888889,,,,0.5041666666666665,,,1000,20
6,tercile_resid_group,1,,,,,0.5472222222222223,,,,0.5916666666666668,,,1000,20
6,tercile_resid_group,2,,,,,0.5625,,,,0.8216666666666667,,,1000,20
7,full,all,109,79,30,203,0.6156249999999999,0.49937955596814304,0.5817479878599418,0.011988011988011988,,,,1000,20
7,tercile_resid,all,109,79,30,203,0.5626851851851852,0.4986370810083761,0.5866944444444443,0.1018981018981019,0.6391666666666667,,,1000,20
7,tercile_resid_group,0,,,,,0.5972222222222222,,,,0.5041666666666665,,,1000,20
7,tercile_resid_group,1,,,,,0.5416666666666667,,,,0.5916666666666668,,,1000,20
7,tercile_resid_group,2,,,,,0.5491666666666667,,,,0.8216666666666667,,,1000,20
8,full,all,109,79,30,203,0.6184027777777777,0.49911303138655116,0.5861582062965216,0.013986013986013986,,,,1000,20
8,tercile_resid,all,109,79,30,203,0.5686111111111111,0.49828812369055936,0.586312415877657,0.0959040959040959,0.6391666666666667,,,1000,20
8,tercile_resid_group,0,,,,,0.6180555555555556,,,,0.5041666666666665,,,1000,20
8,tercile_resid_group,1,,,,,0.5611111111111112,,,,0.5916666666666668,,,1000,20
8,tercile_resid_group,2,,,,,0.5266666666666666,,,,0.8216666666666667,,,1000,20
9,full,all,109,79,30,203,0.6409722222222223,0.49866527371588687,0.5866382518447734,0.003996003996003996,,,,1000,20
9,tercile_resid,all,109,79,30,203,0.5837037037037037,0.49750314764774495,0.5836577816067947,0.05094905094905095,0.6391666666666667,,,1000,20
9,tercile_resid_group,0,,,,,0.6583333333333333,,,,0.5041666666666665,,,1000,20
9,tercile_resid_group,1,,,,,0.5236111111111111,,,,0.5916666666666668,,,1000,20
9,tercile_resid_group,2,,,,,0.5691666666666667,,,,0.8216666666666667,,,1000,20
10,full,all,109,79,30,203,0.6319444444444445,0.4982721937971574,0.5840632375575311,0.007992007992007992,,,,1000,20
10,tercile_resid,all,109,79,30,203,0.5704629629629631,0.4980411256887702,0.5824834554557691,0.0899100899100899,0.6391666666666667,,,1000,20
10,tercile_resid_group,0,,,,,0.6708333333333334,,,,0.5041666666666665,,,1000,20
10,tercile_resid_group,1,,,,,0.49722222222222223,,,,0.5916666666666668,,,1000,20
10,tercile_resid_group,2,,,,,0.5433333333333333,,,,0.8216666666666667,,,1000,20
11,full,all,109,79,30,203,0.7118055555555555,0.498913491866933,0.5883102181735334,0.000999000999000999,,,,1000,20
11,tercile_resid,all,109,79,30,203,0.5756481481481482,0.49809388271375116,0.5880581971905071,0.07892107892107893,0.6391666666666667,,,1000,20
11,tercile_resid_group,0,,,,,0.7388888888888889,,,,0.5041666666666665,,,1000,20
11,tercile_resid_group,1,,,,,0.5180555555555556,,,,0.5916666666666668,,,1000,20
11,tercile_resid_group,2,,,,,0.47000000000000003,,,,0.8216666666666667,,,1000,20
12,full,all,109,79,30,203,0.6968749999999999,0.4988317381654049,0.5928473251386294,0.000999000999000999,,,,1000,20
12,tercile_resid,all,109,79,30,203,0.5923148148148148,0.4981256865665432,0.5886296350330255,0.04595404595404595,0.6391666666666667,,,1000,20
12,tercile_resid_group,0,,,,,0.7486111111111111,,,,0.5041666666666665,,,1000,20
12,tercile_resid_group,1,,,,,0.5666666666666667,,,,0.5916666666666668,,,1000,20
12,tercile_resid_group,2,,,,,0.4616666666666667,,,,0.8216666666666667,,,1000,20
13,full,all,109,79,30,203,0.6913194444444445,0.4990307673211785,0.5893078766368811,0.000999000999000999,,,,1000,20
13,tercile_resid,all,109,79,30,203,0.585925925925926,0.4981476838620563,0.590139403292181,0.059940059940059943,0.6391666666666667,,,1000,20
13,tercile_resid_group,0,,,,,0.7402777777777778,,,,0.5041666666666665,,,1000,20
13,tercile_resid_group,1,,,,,0.5416666666666667,,,,0.5916666666666668,,,1000,20
13,tercile_resid_group,2,,,,,0.4758333333333333,,,,0.8216666666666667,,,1000,20
14,full,all,109,79,30,203,0.7121527777777776,0.4990495694934099,0.5892895067784124,0.000999000999000999,,,,1000,20
14,tercile_resid,all,109,79,30,203,0.6006481481481482,0.49896323462395276,0.5902639567441661,0.03396603396603397,0.6391666666666667,,,1000,20
14,tercile_resid_group,0,,,,,0.7430555555555556,,,,0.5041666666666665,,,1000,20
14,tercile_resid_group,1,,,,,0.5263888888888889,,,,0.5916666666666668,,,1000,20
14,tercile_resid_group,2,,,,,0.5325,,,,0.8216666666666667,,,1000,20
15,full,all,109,79,30,203,0.703125,0.49874413826341074,0.5882450247228959,0.000999000999000999,,,,1000,20
15,tercile_resid,all,109,79,30,203,0.5902777777777778,0.49878248489683336,0.5898685566494303,0.05094905094905095,0.6391666666666667,,,1000,20
15,tercile_resid_group,0,,,,,0.7458333333333333,,,,0.5041666666666665,,,1000,20
15,tercile_resid_group,1,,,,,0.4833333333333334,,,,0.5916666666666668,,,1000,20
15,tercile_resid_group,2,,,,,0.5416666666666666,,,,0.8216666666666667,,,1000,20
16,full,all,109,79,30,203,0.7027777777777777,0.49864590950439847,0.5897917507569548,0.000999000999000999,,,,1000,20
16,tercile_resid,all,109,79,30,203,0.6041666666666666,0.49868305418313985,0.5865750963397054,0.03196803196803197,0.6391666666666667,,,1000,20
16,tercile_resid_group,0,,,,,0.7486111111111111,,,,0.5041666666666665,,,1000,20
16,tercile_resid_group,1,,,,,0.4805555555555556,,,,0.5916666666666668,,,1000,20
16,tercile_resid_group,2,,,,,0.5833333333333333,,,,0.8216666666666667,,,1000,20
17,full,all,109,79,30,203,0.7048611111111112,0.49912378451475925,0.5898453327517258,0.000999000999000999,,,,1000,20
