round,kind,variant,param,value,n,world,n_rep,fire_rate,fire_rate_q950,fire_rate_q975,fire_rate_q990,mean_length_bacc,mean_full_bacc,mean_strat_bacc,mean_base_same_folds,mean_null_p95,mean_n_strata_kept,b,s,full_bacc,strat_bacc
1,calib_b,,0.3,0.5360642715577498,30,,,,,,,,,,,,,,,,
1,calib_b,,0.5,0.5722790904345253,30,,,,,,,,,,,,,,,,
1,calib_b,,0.7,0.6272396838266404,30,,,,,,,,,,,,,,,,
1,calib_b,,0.9,0.6520790866540866,30,,,,,,,,,,,,,,,,
1,calib_b,,1.1,0.6826054345211954,30,,,,,,,,,,,,,,,,
1,calib_b,,1.4,0.7150535270486358,30,,,,,,,,,,,,,,,,
1,calib_s,,0.0,0.6013241856975552,30,,,,,,,,,,,,,,,,
1,calib_s,,0.02,0.6693166509818683,30,,,,,,,,,,,,,,,,
1,calib_s,,0.04,0.752013914768806,30,,,,,,,,,,,,,,,,
1,calib_s,,0.06,0.8503114112135852,30,,,,,,,,,,,,,,,,
1,calib_s,,0.09,0.9352076722190853,30,,,,,,,,,,,,,,,,
1,calib_s,,0.13,0.9754229931300584,30,,,,,,,,,,,,,,,,
1,calib_s,,0.18,0.9973319847020934,30,,,,,,,,,,,,,,,,
1,world,tercile,,,,pure_length,200,0.095,0.095,0.075,0.055,0.6514678783574993,0.592398703739529,0.5361419064153439,0.5675329447751323,0.5982453885389691,2.405,0.9,0.0,,
1,world,tercile,,,,genuine_belief,200,0.95,0.95,0.895,0.82,0.6579273877223941,0.7528841997672688,0.6897657986111111,0.5727853587962963,0.5985921821890305,2.415,0.9,0.04,,
1,mde,tercile,0.0,0.11666666666666667,60,,,,,,,,,,,,,,,0.5971169812574704,0.5378031856261022
1,mde,tercile,0.02,0.36666666666666664,60,,,,,,,,,,,,,,,0.6696875267244832,0.5944856977513228
1,mde,tercile,0.03,0.7333333333333333,60,,,,,,,,,,,,,,,0.7078941484139853,0.6405784556878307
1,mde,tercile,0.045,0.9333333333333333,60,,,,,,,,,,,,,,,0.773877953910019,0.7181021274250442
1,mde,tercile,0.06,1.0,60,,,,,,,,,,,,,,,0.8483757191982735,0.7971978064373898
1,mde,tercile,0.09,1.0,60,,,,,,,,,,,,,,,0.9396690061247125,0.9084132220017638
2,calib_b,,0.3,0.5360642715577498,30,,,,,,,,,,,,,,,,
2,calib_b,,0.5,0.5722790904345253,30,,,,,,,,,,,,,,,,
2,calib_b,,0.7,0.6272396838266404,30,,,,,,,,,,,,,,,,
2,calib_b,,0.9,0.6520790866540866,30,,,,,,,,,,,,,,,,
2,calib_b,,1.1,0.6826054345211954,30,,,,,,,,,,,,,,,,
2,calib_b,,1.4,0.7150535270486358,30,,,,,,,,,,,,,,,,
2,calib_s,,0.0,0.6013241856975552,30,,,,,,,,,,,,,,,,
2,calib_s,,0.02,0.6693166509818683,30,,,,,,,,,,,,,,,,
2,calib_s,,0.04,0.752013914768806,30,,,,,,,,,,,,,,,,
2,calib_s,,0.06,0.8503114112135852,30,,,,,,,,,,,,,,,,
2,calib_s,,0.09,0.9352076722190853,30,,,,,,,,,,,,,,,,
2,calib_s,,0.13,0.9754229931300584,30,,,,,,,,,,,,,,,,
2,calib_s,,0.18,0.9973319847020934,30,,,,,,,,,,,,,,,,
2,world,tercile_resid,,,,pure_length,200,0.03,0.03,0.005,0.005,0.6514678783574993,0.592398703739529,0.4999695023148148,0.5675329447751323,0.5959001249007411,2.405,0.9,0.0,,
2,world,tercile_resid,,,,genuine_belief,200,0.71,0.71,0.63,0.54,0.6579273877223941,0.7528841997672688,0.6432138971560846,0.5727853587962963,0.5961548489365388,2.415,0.9,0.04,,
2,world,matched,,,,pure_length,200,0.12,0.12,0.085,0.06,0.6514678783574993,0.592398703739529,0.5433417651792651,0.556892436036186,0.6007898860514485,1.0,0.9,0.0,,
2,world,matched,,,,genuine_belief,200,0.97,0.97,0.94,0.86,0.6579273877223941,0.7528841997672688,0.7113047029359529,0.5582604839604839,0.6016828477598789,1.0,0.9,0.04,,
3,calib_b,,0.3,0.5360642715577498,30,,,,,,,,,,,,,,,,
3,calib_b,,0.5,0.5722790904345253,30,,,,,,,,,,,,,,,,
3,calib_b,,0.7,0.6272396838266404,30,,,,,,,,,,,,,,,,
3,calib_b,,0.9,0.6520790866540866,30,,,,,,,,,,,,,,,,
