n_per_arm,p_a,p_b,pb_rule,alt_world,gap_pred,pred_lo,pred_hi,mean_obs_gap_if_mixture,mean_obs_gap_if_annotation,P_inside_if_mixture,P_outside_if_annotation,distinguishing_power
150,0.3,0.56,offset,w11,-0.1251,-0.2471,-0.0006,-0.1256,0.2861,0.985,1.0,0.985
150,0.3,0.56,offset,w3,-0.1251,-0.2479,-0.001,-0.1229,0.1196,0.985,0.974,0.974
150,0.3,0.3,equal,w11,-0.25,-0.385,-0.1094,-0.251,0.2861,0.9947,1.0,0.9947
150,0.3,0.3,equal,w3,-0.25,-0.385,-0.11,-0.25,0.1191,0.9937,1.0,0.9937
150,0.3,0.8067,fixed,w11,-0.0066,-0.1261,0.1127,-0.0061,0.2878,0.978,0.998,0.978
150,0.3,0.8067,fixed,w3,-0.0066,-0.1251,0.111,-0.006,0.1207,0.9753,0.5533,0.5533
150,0.35,0.61,offset,w11,-0.0754,-0.1938,0.044,-0.0756,0.2857,0.9813,1.0,0.9813
150,0.35,0.61,offset,w3,-0.0754,-0.1947,0.043,-0.0753,0.1218,0.9807,0.8873,0.8873
150,0.35,0.35,equal,w11,-0.2004,-0.3341,-0.0697,-0.1989,0.2878,0.9927,1.0,0.9927
150,0.35,0.35,equal,w3,-0.2004,-0.3354,-0.0685,-0.2018,0.1201,0.9923,0.9977,0.9923
150,0.35,0.8067,fixed,w11,0.0191,-0.0999,0.1333,0.0177,0.2883,0.9747,0.9937,0.9747
150,0.35,0.8067,fixed,w3,0.0191,-0.1003,0.1343,0.0188,0.1199,0.976,0.3963,0.3963
150,0.4,0.66,offset,w11,-0.0257,-0.1427,0.0918,-0.0276,0.2883,0.985,0.9997,0.985
150,0.4,0.66,offset,w3,-0.0257,-0.143,0.0908,-0.0253,0.1213,0.9767,0.675,0.675
150,0.4,0.4,equal,w11,-0.1507,-0.2772,-0.0205,-0.1503,0.2861,0.9907,1.0,0.9907
150,0.4,0.4,equal,w3,-0.1507,-0.2777,-0.0222,-0.1489,0.1209,0.9913,0.9887,0.9887
150,0.4,0.8067,fixed,w11,0.0447,-0.0708,0.16,0.0466,0.2869,0.9793,0.982,0.9793
150,0.4,0.8067,fixed,w3,0.0447,-0.0707,0.1604,0.0443,0.119,0.9787,0.269,0.269
150,0.45,0.71,offset,w11,0.0239,-0.0907,0.1375,0.0223,0.285,0.9753,0.991,0.9753
150,0.45,0.71,offset,w3,0.0239,-0.0908,0.1403,0.0226,0.1197,0.9797,0.378,0.378
150,0.45,0.45,equal,w11,-0.101,-0.22,0.0264,-0.1013,0.2866,0.9897,1.0,0.9897
150,0.45,0.45,equal,w3,-0.101,-0.2194,0.0276,-0.1014,0.12,0.9893,0.9343,0.9343
150,0.45,0.8067,fixed,w11,0.0704,-0.0426,0.1836,0.0724,0.2879,0.9753,0.958,0.958
150,0.45,0.8067,fixed,w3,0.0704,-0.0425,0.1855,0.0709,0.1192,0.9747,0.1543,0.1543
150,0.5,0.76,offset,w11,0.0736,-0.04,0.1861,0.0734,0.2851,0.972,0.9447,0.9447
150,0.5,0.76,offset,w3,0.0736,-0.0402,0.1867,0.0737,0.1206,0.9717,0.1387,0.1387
150,0.5,0.5,equal,w11,-0.0513,-0.1717,0.0696,-0.0514,0.2852,0.9847,0.9997,0.9847
150,0.5,0.5,equal,w3,-0.0513,-0.1712,0.0699,-0.0528,0.1213,0.984,0.787,0.787
150,0.5,0.8067,fixed,w11,0.096,-0.0175,0.2081,0.0965,0.2866,0.9763,0.9073,0.9073
150,0.5,0.8067,fixed,w3,0.096,-0.0174,0.2095,0.0966,0.121,0.976,0.099,0.099
