run,outcome,statistic,n_pairs,value,ci_lo,ci_hi,strictly_positive,excludes_zero
frozen_primary,landing_regex_corr,swap,40,0.0,0.0,0.0,0,0
frozen_primary,landing_regex_corr,self,40,0.025,0.0,0.075,0,0
frozen_primary,landing_regex_corr,rand,40,0.025,0.0,0.075,0,0
frozen_primary,landing_regex_corr,swap_minus_rand,40,-0.025,-0.075,0.0,0,0
frozen_primary,landing_regex_corr,swap_minus_self,40,-0.025,-0.075,0.0,0,0
frozen_primary,verbalized,swap,40,-0.05,-0.125,0.0,0,0
frozen_primary,verbalized,self,40,-0.025,-0.075,0.0,0,0
frozen_primary,verbalized,rand,40,0.025,-0.075,0.125,0,0
frozen_primary,verbalized,swap_minus_rand,40,-0.075,-0.175,0.0,0,0
frozen_primary,verbalized,swap_minus_self,40,-0.025,-0.075,0.0,0,0
deep,landing_regex_corr,swap,40,-0.025,-0.175,0.15,0,0
deep,landing_regex_corr,self,40,-0.05,-0.225,0.125,0,0
deep,landing_regex_corr,rand,40,0.0,-0.175,0.175,0,0
deep,landing_regex_corr,swap_minus_rand,40,-0.025,-0.225,0.15,0,0
deep,landing_regex_corr,swap_minus_self,40,0.025,-0.075,0.125,0,0
deep,verbalized,swap,40,0.025,-0.125,0.175,0,0
deep,verbalized,self,40,-0.175,-0.325,-0.05,0,1
deep,verbalized,rand,40,-0.025,-0.2,0.15,0,0
deep,verbalized,swap_minus_rand,40,0.05,-0.125,0.225,0,0
deep,verbalized,swap_minus_self,40,0.2,0.075,0.325,1,1
