direction,pair_index,A_i,B_i,A_phat,B_phat,A_cut,B_cut,A_seed,B_seed,A_n_tokens,B_n_tokens
primary,0,449,85,1,-1,534,362,11163,10799,562,394
primary,1,782,373,1,-1,347,354,11496,11087,419,382
primary,2,932,757,1,-1,447,272,11646,11471,475,340
primary,3,269,241,1,-1,366,444,10983,10955,415,478
primary,4,89,225,1,-1,360,405,10803,10939,388,439
primary,5,879,358,1,-1,500,337,11593,11072,528,373
primary,6,348,825,1,-1,308,342,11062,11539,399,382
primary,7,751,607,1,-1,375,328,11465,11321,411,356
primary,8,716,429,1,-1,394,307,11430,11143,451,335
primary,9,688,347,1,-1,431,340,11402,11061,464,372
primary,10,864,651,1,-1,359,478,11578,11365,390,511
primary,11,50,419,1,-1,388,261,10764,11133,417,520
primary,12,466,183,1,-1,341,304,11180,10897,369,337
primary,13,458,308,1,-1,503,407,11172,11022,535,444
primary,14,38,397,1,-1,394,378,10752,11111,429,411
primary,15,975,56,1,-1,362,449,11689,10770,390,511
primary,16,706,291,1,-1,369,439,11420,11005,401,473
primary,17,86,749,1,-1,433,333,10800,11463,466,373
primary,18,442,928,1,-1,334,412,11156,11642,362,440
primary,19,830,653,1,-1,355,367,11544,11367,383,400
primary,20,686,720,1,-1,283,348,11400,11434,339,384
primary,21,520,991,1,-1,391,308,11234,11705,425,336
primary,22,713,468,1,-1,441,420,11427,11182,469,448
primary,23,261,833,1,-1,330,538,10975,11547,388,580
primary,24,203,863,1,-1,382,385,10917,11577,423,413
primary,25,323,643,1,-1,360,465,11037,11357,392,498
primary,26,559,372,1,-1,395,488,11273,11086,430,516
primary,27,244,9,1,-1,408,367,10958,10723,436,395
primary,28,197,160,1,-1,500,356,10911,10874,532,390
primary,29,577,837,1,-1,479,290,11291,11551,512,333
primary,30,620,589,1,-1,388,325,11334,11303,423,358
primary,31,664,371,1,-1,344,401,11378,11085,403,434
primary,32,455,287,1,-1,346,346,11169,11001,374,388
primary,33,162,965,1,-1,269,362,10876,11679,304,398
primary,34,892,92,1,-1,342,341,11606,10806,377,373
primary,35,395,487,1,-1,386,355,11109,11201,420,411
primary,36,378,42,1,-1,317,290,11092,10756,383,318
primary,37,19,14,1,-1,352,337,10733,10728,401,369
primary,38,905,407,1,-1,334,300,11619,11121,362,675
primary,39,391,110,1,-1,347,345,11105,10824,380,378
mirror,0,85,449,-1,1,362,534,10799,11163,394,562
mirror,1,373,782,-1,1,354,347,11087,11496,382,419
mirror,2,757,932,-1,1,272,447,11471,11646,340,475
mirror,3,241,269,-1,1,444,366,10955,10983,478,415
mirror,4,225,89,-1,1,405,360,10939,10803,439,388
mirror,5,358,879,-1,1,337,500,11072,11593,373,528
mirror,6,825,348,-1,1,342,308,11539,11062,382,399
mirror,7,607,751,-1,1,328,375,11321,11465,356,411
mirror,8,429,716,-1,1,307,394,11143,11430,335,451
mirror,9,347,688,-1,1,340,431,11061,11402,372,464
mirror,10,651,864,-1,1,478,359,11365,11578,511,390
mirror,11,419,50,-1,1,261,388,11133,10764,520,417
mirror,12,183,466,-1,1,304,341,10897,11180,337,369
mirror,13,308,458,-1,1,407,503,11022,11172,444,535
mirror,14,397,38,-1,1,378,394,11111,10752,411,429
mirror,15,56,975,-1,1,449,362,10770,11689,511,390
mirror,16,291,706,-1,1,439,369,11005,11420,473,401
mirror,17,749,86,-1,1,333,433,11463,10800,373,466
mirror,18,928,442,-1,1,412,334,11642,11156,440,362
mirror,19,653,830,-1,1,367,355,11367,11544,400,383
mirror,20,720,686,-1,1,348,283,11434,11400,384,339
mirror,21,991,520,-1,1,308,391,11705,11234,336,425
mirror,22,468,713,-1,1,420,441,11182,11427,448,469
mirror,23,833,261,-1,1,538,330,11547,10975,580,388
mirror,24,863,203,-1,1,385,382,11577,10917,413,423
mirror,25,643,323,-1,1,465,360,11357,11037,498,392
mirror,26,372,559,-1,1,488,395,11086,11273,516,430
mirror,27,9,244,-1,1,367,408,10723,10958,395,436
mirror,28,160,197,-1,1,356,500,10874,10911,390,532
mirror,29,837,577,-1,1,290,479,11551,11291,333,512
mirror,30,589,620,-1,1,325,388,11303,11334,358,423
mirror,31,371,664,-1,1,401,344,11085,11378,434,403
mirror,32,287,455,-1,1,346,346,11001,11169,388,374
mirror,33,965,162,-1,1,362,269,11679,10876,398,304
mirror,34,92,892,-1,1,341,342,10806,11606,373,377
mirror,35,487,395,-1,1,355,386,11201,11109,411,420
mirror,36,42,378,-1,1,290,317,10756,11092,318,383
mirror,37,14,19,-1,1,337,352,10728,10733,369,401
mirror,38,407,905,-1,1,300,334,11121,11619,675,362
mirror,39,110,391,-1,1,345,347,10824,11105,378,380
