direction,world,n_pairs,delta_true,lam,q0,delta_gen_applied,sigma_arm,fire_T1_all3,fire_ruleC_contrast_only,fire_swap_alone,fire_rand_alone,mean_delta_swap
primary,null,25,0.0,0.2632,0.2073,0.205,0.0495,0.006,0.006,0.427,0.431,0.2096
primary,alt,25,0.1,0.2632,0.2073,0.205,0.0495,0.056,0.06,0.701,0.445,0.3055
primary,alt,25,0.2,0.2632,0.2073,0.205,0.0495,0.225,0.226,0.91,0.433,0.4128
primary,alt,25,0.3,0.2632,0.2073,0.205,0.0495,0.632,0.632,0.985,0.418,0.5078
primary,alt,25,0.4456,0.2632,0.2073,0.205,0.0495,0.979,0.979,1.0,0.406,0.584
primary,alt,25,0.5133,0.2632,0.2073,0.205,0.0495,0.98,0.98,1.0,0.402,0.5845
primary,null,40,0.0,0.2632,0.2073,0.205,0.0495,0.016,0.016,0.583,0.582,0.2021
primary,alt,40,0.1,0.2632,0.2073,0.205,0.0495,0.094,0.094,0.885,0.575,0.3066
primary,alt,40,0.2,0.2632,0.2073,0.205,0.0495,0.379,0.378,0.98,0.602,0.3987
primary,alt,40,0.3,0.2632,0.2073,0.205,0.0495,0.781,0.781,0.999,0.587,0.502
primary,alt,40,0.4456,0.2632,0.2073,0.205,0.0495,0.997,0.997,1.0,0.575,0.5808
primary,alt,40,0.5133,0.2632,0.2073,0.205,0.0495,1.0,1.0,1.0,0.563,0.5868
primary,null,60,0.0,0.2632,0.2073,0.205,0.0495,0.019,0.017,0.737,0.726,0.2037
primary,alt,60,0.1,0.2632,0.2073,0.205,0.0495,0.158,0.158,0.961,0.744,0.3041
primary,alt,60,0.2,0.2632,0.2073,0.205,0.0495,0.568,0.568,0.998,0.727,0.4093
primary,alt,60,0.3,0.2632,0.2073,0.205,0.0495,0.891,0.891,1.0,0.719,0.5029
primary,alt,60,0.4456,0.2632,0.2073,0.205,0.0495,0.999,0.999,1.0,0.737,0.5808
primary,alt,60,0.5133,0.2632,0.2073,0.205,0.0495,1.0,1.0,1.0,0.75,0.5855
primary,null,25,0.0,0.2632,0.2073,0.1,0.0495,0.006,0.009,0.162,0.183,0.0998
primary,alt,25,0.1,0.2632,0.2073,0.1,0.0495,0.052,0.066,0.389,0.166,0.2016
primary,alt,25,0.2,0.2632,0.2073,0.1,0.0495,0.184,0.201,0.676,0.179,0.2957
primary,alt,25,0.3,0.2632,0.2073,0.1,0.0495,0.467,0.479,0.888,0.156,0.3918
primary,alt,25,0.4456,0.2632,0.2073,0.1,0.0495,0.921,0.922,0.993,0.137,0.5399
primary,alt,25,0.5133,0.2632,0.2073,0.1,0.0495,0.991,0.991,1.0,0.168,0.5796
primary,null,40,0.0,0.2632,0.2073,0.1,0.0495,0.011,0.014,0.251,0.235,0.1051
primary,alt,40,0.1,0.2632,0.2073,0.1,0.0495,0.079,0.085,0.563,0.23,0.2016
primary,alt,40,0.2,0.2632,0.2073,0.1,0.0495,0.348,0.354,0.877,0.214,0.3014
primary,alt,40,0.3,0.2632,0.2073,0.1,0.0495,0.716,0.721,0.979,0.237,0.4031
primary,alt,40,0.4456,0.2632,0.2073,0.1,0.0495,0.987,0.987,0.999,0.239,0.5412
primary,alt,40,0.5133,0.2632,0.2073,0.1,0.0495,0.998,0.998,1.0,0.231,0.5752
primary,null,60,0.0,0.2632,0.2073,0.1,0.0495,0.025,0.026,0.307,0.29,0.1006
primary,alt,60,0.1,0.2632,0.2073,0.1,0.0495,0.162,0.167,0.723,0.303,0.2013
primary,alt,60,0.2,0.2632,0.2073,0.1,0.0495,0.504,0.506,0.954,0.302,0.2994
primary,alt,60,0.3,0.2632,0.2073,0.1,0.0495,0.876,0.876,0.998,0.305,0.4005
primary,alt,60,0.4456,0.2632,0.2073,0.1,0.0495,1.0,1.0,1.0,0.321,0.541
primary,alt,60,0.5133,0.2632,0.2073,0.1,0.0495,1.0,1.0,1.0,0.324,0.5752
primary,null,25,0.0,0.2632,0.2073,-0.0,0.0495,0.009,0.011,0.076,0.088,0.0021
primary,alt,25,0.1,0.2632,0.2073,-0.0,0.0495,0.035,0.066,0.16,0.078,0.0962
primary,alt,25,0.2,0.2632,0.2073,-0.0,0.0495,0.167,0.229,0.411,0.068,0.1962
primary,alt,25,0.3,0.2632,0.2073,-0.0,0.0495,0.441,0.533,0.675,0.089,0.2979
primary,alt,25,0.4456,0.2632,0.2073,-0.0,0.0495,0.864,0.895,0.953,0.073,0.445
primary,alt,25,0.5133,0.2632,0.2073,-0.0,0.0495,0.966,0.971,0.99,0.1,0.5115
primary,null,40,0.0,0.2632,0.2073,-0.0,0.0495,0.026,0.021,0.121,0.089,0.0034
primary,alt,40,0.1,0.2632,0.2073,-0.0,0.0495,0.073,0.119,0.23,0.106,0.0998
primary,alt,40,0.2,0.2632,0.2073,-0.0,0.0495,0.31,0.387,0.575,0.081,0.1998
primary,alt,40,0.3,0.2632,0.2073,-0.0,0.0495,0.677,0.725,0.858,0.09,0.2989
primary,alt,40,0.4456,0.2632,0.2073,-0.0,0.0495,0.965,0.969,0.99,0.086,0.4491
primary,alt,40,0.5133,0.2632,0.2073,-0.0,0.0495,0.995,0.996,0.998,0.101,0.5094
primary,null,60,0.0,0.2632,0.2073,-0.0,0.0495,0.032,0.028,0.124,0.118,-0.0031
primary,alt,60,0.1,0.2632,0.2073,-0.0,0.0495,0.13,0.188,0.322,0.131,0.1025
primary,alt,60,0.2,0.2632,0.2073,-0.0,0.0495,0.476,0.552,0.694,0.117,0.1958
primary,alt,60,0.3,0.2632,0.2073,-0.0,0.0495,0.836,0.861,0.946,0.105,0.2948
primary,alt,60,0.4456,0.2632,0.2073,-0.0,0.0495,0.992,0.992,1.0,0.125,0.4467
primary,alt,60,0.5133,0.2632,0.2073,-0.0,0.0495,1.0,1.0,1.0,0.119,0.5108
mirror,null,25,0.0,0.2632,0.2794,-0.205,0.0495,0.0,0.008,0.622,0.618,-0.1856
mirror,alt,25,0.1,0.2632,0.2794,-0.205,0.0495,0.005,0.173,0.216,0.635,-0.1054
mirror,alt,25,0.2,0.2632,0.2794,-0.205,0.0495,0.021,0.486,0.074,0.654,-0.0049
mirror,alt,25,0.3,0.2632,0.2794,-0.205,0.0495,0.142,0.755,0.16,0.619,0.0995
mirror,alt,25,0.4456,0.2632,0.2794,-0.205,0.0495,0.496,0.953,0.507,0.668,0.2434
mirror,alt,25,0.5133,0.2632,0.2794,-0.205,0.0495,0.708,0.985,0.711,0.634,0.3119
mirror,null,40,0.0,0.2632,0.2794,-0.205,0.0495,0.007,0.034,0.834,0.842,-0.193
mirror,alt,40,0.1,0.2632,0.2794,-0.205,0.0495,0.02,0.304,0.305,0.818,-0.1
mirror,alt,40,0.2,0.2632,0.2794,-0.205,0.0495,0.04,0.655,0.085,0.834,-0.0127
mirror,alt,40,0.3,0.2632,0.2794,-0.205,0.0495,0.197,0.893,0.199,0.815,0.1009
mirror,alt,40,0.4456,0.2632,0.2794,-0.205,0.0495,0.666,0.982,0.668,0.82,0.2381
mirror,alt,40,0.5133,0.2632,0.2794,-0.205,0.0495,0.861,0.998,0.861,0.803,0.3131
mirror,null,60,0.0,0.2632,0.2794,-0.205,0.0495,0.035,0.057,0.902,0.894,-0.1876
mirror,alt,60,0.1,0.2632,0.2794,-0.205,0.0495,0.091,0.425,0.414,0.895,-0.1023
mirror,alt,60,0.2,0.2632,0.2794,-0.205,0.0495,0.062,0.776,0.109,0.908,-0.0078
mirror,alt,60,0.3,0.2632,0.2794,-0.205,0.0495,0.257,0.953,0.262,0.915,0.0939
mirror,alt,60,0.4456,0.2632,0.2794,-0.205,0.0495,0.845,0.998,0.845,0.889,0.244
mirror,alt,60,0.5133,0.2632,0.2794,-0.205,0.0495,0.94,1.0,0.94,0.884,0.3039
mirror,null,25,0.0,0.2632,0.2794,-0.1,0.0495,0.009,0.022,0.193,0.213,-0.0959
mirror,alt,25,0.1,0.2632,0.2794,-0.1,0.0495,0.017,0.12,0.072,0.229,0.0037
mirror,alt,25,0.2,0.2632,0.2794,-0.1,0.0495,0.079,0.28,0.135,0.203,0.0987
mirror,alt,25,0.3,0.2632,0.2794,-0.1,0.0495,0.29,0.571,0.379,0.223,0.1995
mirror,alt,25,0.4456,0.2632,0.2794,-0.1,0.0495,0.753,0.894,0.806,0.228,0.3432
mirror,alt,25,0.5133,0.2632,0.2794,-0.1,0.0495,0.897,0.967,0.916,0.206,0.418
mirror,null,40,0.0,0.2632,0.2794,-0.1,0.0495,0.037,0.03,0.324,0.302,-0.1039
mirror,alt,40,0.1,0.2632,0.2794,-0.1,0.0495,0.02,0.145,0.073,0.298,0.0038
mirror,alt,40,0.2,0.2632,0.2794,-0.1,0.0495,0.149,0.451,0.197,0.282,0.0998
mirror,alt,40,0.3,0.2632,0.2794,-0.1,0.0495,0.48,0.755,0.536,0.292,0.2014
mirror,alt,40,0.4456,0.2632,0.2794,-0.1,0.0495,0.908,0.978,0.921,0.283,0.3408
mirror,alt,40,0.5133,0.2632,0.2794,-0.1,0.0495,0.981,0.995,0.985,0.297,0.4119
mirror,null,60,0.0,0.2632,0.2794,-0.1,0.0495,0.048,0.027,0.393,0.373,-0.0998
mirror,alt,60,0.1,0.2632,0.2794,-0.1,0.0495,0.023,0.224,0.082,0.421,-0.0008
mirror,alt,60,0.2,0.2632,0.2794,-0.1,0.0495,0.236,0.588,0.281,0.388,0.098
mirror,alt,60,0.3,0.2632,0.2794,-0.1,0.0495,0.648,0.876,0.681,0.373,0.1968
mirror,alt,60,0.4456,0.2632,0.2794,-0.1,0.0495,0.983,0.993,0.988,0.392,0.3471
mirror,alt,60,0.5133,0.2632,0.2794,-0.1,0.0495,0.997,1.0,0.997,0.396,0.412
mirror,null,25,0.0,0.2632,0.2794,0.0,0.0495,0.011,0.012,0.084,0.074,0.0048
mirror,alt,25,0.1,0.2632,0.2794,0.0,0.0495,0.031,0.066,0.166,0.071,0.0964
mirror,alt,25,0.2,0.2632,0.2794,0.0,0.0495,0.156,0.231,0.374,0.084,0.1942
mirror,alt,25,0.3,0.2632,0.2794,0.0,0.0495,0.44,0.525,0.662,0.071,0.3024
mirror,alt,25,0.4456,0.2632,0.2794,0.0,0.0495,0.869,0.897,0.949,0.074,0.4431
mirror,alt,25,0.5133,0.2632,0.2794,0.0,0.0495,0.977,0.982,0.992,0.077,0.5077
mirror,null,40,0.0,0.2632,0.2794,0.0,0.0495,0.012,0.016,0.081,0.083,-0.0017
mirror,alt,40,0.1,0.2632,0.2794,0.0,0.0495,0.078,0.113,0.214,0.085,0.0987
mirror,alt,40,0.2,0.2632,0.2794,0.0,0.0495,0.297,0.38,0.531,0.098,0.1961
mirror,alt,40,0.3,0.2632,0.2794,0.0,0.0495,0.687,0.739,0.854,0.073,0.3022
mirror,alt,40,0.4456,0.2632,0.2794,0.0,0.0495,0.982,0.985,0.995,0.086,0.4472
mirror,alt,40,0.5133,0.2632,0.2794,0.0,0.0495,0.997,0.998,0.999,0.093,0.5026
mirror,null,60,0.0,0.2632,0.2794,0.0,0.0495,0.031,0.016,0.133,0.116,-0.0074
mirror,alt,60,0.1,0.2632,0.2794,0.0,0.0495,0.101,0.158,0.311,0.093,0.1031
mirror,alt,60,0.2,0.2632,0.2794,0.0,0.0495,0.46,0.523,0.704,0.099,0.2042
mirror,alt,60,0.3,0.2632,0.2794,0.0,0.0495,0.859,0.87,0.947,0.1,0.3028
mirror,alt,60,0.4456,0.2632,0.2794,0.0,0.0495,0.997,0.998,0.999,0.104,0.4452
mirror,alt,60,0.5133,0.2632,0.2794,0.0,0.0495,0.999,0.999,1.0,0.097,0.4997
