direction,n_pairs,delta_true,power_T1_all3,power_ruleC,power_swap_alone
primary,40,0.0,0.016,0.015,0.586
mirror,40,0.0,0.006,0.033,0.81
primary,40,0.05,0.044,0.044,0.743
mirror,40,0.05,0.021,0.132,0.554
primary,40,0.1,0.12,0.121,0.871
mirror,40,0.1,0.018,0.272,0.326
primary,40,0.15,0.208,0.208,0.95
mirror,40,0.15,0.018,0.491,0.146
primary,40,0.2,0.404,0.405,0.977
mirror,40,0.2,0.045,0.661,0.093
primary,40,0.25,0.619,0.619,0.996
mirror,40,0.25,0.086,0.803,0.096
primary,40,0.3,0.785,0.785,1.0
mirror,40,0.3,0.19,0.888,0.194
primary,40,0.35,0.93,0.93,1.0
mirror,40,0.35,0.32,0.945,0.322
primary,40,0.4,0.986,0.986,1.0
mirror,40,0.4,0.503,0.978,0.505
primary,40,0.45,0.998,0.998,1.0
mirror,40,0.45,0.68,0.991,0.683
primary,40,0.5,1.0,1.0,1.0
mirror,40,0.5,0.82,1.0,0.82
primary,40,0.55,1.0,1.0,1.0
mirror,40,0.55,0.925,1.0,0.925
primary,40,0.6,0.999,0.999,1.0
mirror,40,0.6,0.979,1.0,0.979
