direction,outcome,n_pairs,statistic,value,ci_lo,ci_hi,excludes_zero,strictly_positive
mirror,landing_regex_corr,40,swap,0.0,0.0,0.0,0,0
mirror,landing_regex_corr,40,self,0.0,0.0,0.0,0,0
mirror,landing_regex_corr,40,rand,0.0,0.0,0.0,0,0
mirror,landing_regex_corr,40,swap_minus_rand,0.0,0.0,0.0,0,0
mirror,landing_regex_corr,40,swap_minus_self,0.0,0.0,0.0,0,0
mirror,landing_judge,40,swap,0.0,0.0,0.0,0,0
mirror,landing_judge,40,self,0.0,0.0,0.0,0,0
mirror,landing_judge,40,rand,0.0,0.0,0.0,0,0
mirror,landing_judge,40,swap_minus_rand,0.0,0.0,0.0,0,0
mirror,landing_judge,40,swap_minus_self,0.0,0.0,0.0,0,0
mirror,verbalized,40,swap,0.0,-0.1,0.1,0,0
mirror,verbalized,40,self,-0.025,-0.1,0.05,0,0
mirror,verbalized,40,rand,-0.025,-0.125,0.075,0,0
mirror,verbalized,40,swap_minus_rand,0.025,-0.05,0.1,0,0
mirror,verbalized,40,swap_minus_self,0.025,-0.05,0.125,0,0
primary,landing_regex_corr,40,swap,0.0,0.0,0.0,0,0
primary,landing_regex_corr,40,self,0.025,0.0,0.075,0,0
primary,landing_regex_corr,40,rand,0.025,0.0,0.075,0,0
primary,landing_regex_corr,40,swap_minus_rand,-0.025,-0.075,0.0,0,0
primary,landing_regex_corr,40,swap_minus_self,-0.025,-0.075,0.0,0,0
primary,landing_judge,40,swap,0.0,0.0,0.0,0,0
primary,landing_judge,40,self,0.0,0.0,0.0,0,0
primary,landing_judge,40,rand,0.0,0.0,0.0,0,0
primary,landing_judge,40,swap_minus_rand,0.0,0.0,0.0,0,0
primary,landing_judge,40,swap_minus_self,0.0,0.0,0.0,0,0
primary,verbalized,40,swap,-0.05,-0.125,0.0,0,0
primary,verbalized,40,self,-0.025,-0.075,0.0,0,0
primary,verbalized,40,rand,0.025,-0.075,0.125,0,0
primary,verbalized,40,swap_minus_rand,-0.075,-0.175,0.0,0,0
primary,verbalized,40,swap_minus_self,-0.025,-0.075,0.0,0,0
primary,decoded,40,swap,0.0,0.0,0.0,0,0
primary,decoded,40,self,-0.025,-0.075,0.0,0,0
primary,decoded,40,rand,0.025,-0.05,0.1,0,0
primary,decoded,40,swap_minus_rand,-0.025,-0.1,0.05,0,0
primary,decoded,40,swap_minus_self,0.025,0.0,0.075,0,0
