direction,pair_index,arm,A_i,B_i,B_phat,toward_B_corr,toward_B_judge,verbalized,decoded,n_continuation_tokens,edit_norm_mean
mirror,0,SHAM,85,449,1,0,0,0,,30,
mirror,1,SHAM,373,782,1,0,0,0,,33,
mirror,2,SHAM,757,932,1,0,0,1,0,60,
mirror,3,SHAM,241,269,1,0,0,0,,37,
mirror,4,SHAM,225,89,1,0,0,0,,31,
mirror,5,SHAM,358,879,1,0,0,0,0,53,
mirror,6,SHAM,825,348,1,1,1,0,0,29,
mirror,7,SHAM,607,751,1,0,0,0,0,34,
mirror,8,SHAM,429,716,1,0,0,0,,26,
mirror,9,SHAM,347,688,1,0,0,1,,45,
mirror,10,SHAM,651,864,1,0,0,0,,17,
mirror,11,SHAM,419,50,1,0,0,0,0,426,
mirror,12,SHAM,183,466,1,0,0,0,0,104,
mirror,13,SHAM,308,458,1,0,0,1,,46,
mirror,14,SHAM,397,38,1,0,0,0,,42,
mirror,15,SHAM,56,975,1,0,0,0,0,62,
mirror,16,SHAM,291,706,1,0,0,1,,31,
mirror,17,SHAM,749,86,1,0,0,1,,52,
mirror,18,SHAM,928,442,1,0,0,0,0,26,
mirror,19,SHAM,653,830,1,0,0,0,0,22,
mirror,20,SHAM,720,686,1,1,1,1,,25,
mirror,21,SHAM,991,520,1,0,0,0,,55,
mirror,22,SHAM,468,713,1,0,0,0,,7,
mirror,23,SHAM,833,261,1,0,0,0,0,46,
mirror,24,SHAM,863,203,1,0,0,0,,25,
mirror,25,SHAM,643,323,1,0,0,0,0,28,
mirror,26,SHAM,372,559,1,0,0,0,,52,
mirror,27,SHAM,9,244,1,0,0,0,,31,
mirror,28,SHAM,160,197,1,0,0,0,0,36,
mirror,29,SHAM,837,577,1,0,0,0,0,28,
mirror,30,SHAM,589,620,1,0,0,1,0,63,
mirror,31,SHAM,371,664,1,0,0,1,,34,
mirror,32,SHAM,287,455,1,0,0,0,,23,
mirror,33,SHAM,965,162,1,0,0,0,0,50,
mirror,34,SHAM,92,892,1,0,0,0,0,35,
mirror,35,SHAM,487,395,1,0,0,0,,36,
mirror,36,SHAM,42,378,1,0,0,0,,18,
mirror,37,SHAM,14,19,1,0,0,0,,25,
mirror,38,SHAM,407,905,1,0,0,0,0,104,
mirror,39,SHAM,110,391,1,0,0,0,,24,
mirror,0,SWAP,85,449,1,0,0,0,,30,2.5115044116973877
mirror,1,SWAP,373,782,1,0,0,0,,33,2.9165115356445312
mirror,2,SWAP,757,932,1,0,0,0,0,61,2.651409864425659
mirror,3,SWAP,241,269,1,0,0,0,,37,2.9469051361083984
mirror,4,SWAP,225,89,1,0,0,1,,29,2.66512131690979
mirror,5,SWAP,358,879,1,0,0,0,0,77,2.7464184761047363
mirror,6,SWAP,825,348,1,1,1,0,0,29,2.6278443336486816
mirror,7,SWAP,607,751,1,0,0,0,0,34,2.650953769683838
mirror,8,SWAP,429,716,1,0,0,0,,26,2.560617685317993
mirror,9,SWAP,347,688,1,0,0,1,,45,3.075096845626831
mirror,10,SWAP,651,864,1,0,0,0,,16,3.999213218688965
mirror,11,SWAP,419,50,1,0,0,0,0,396,2.450786590576172
mirror,12,SWAP,183,466,1,0,0,0,0,100,2.7076995372772217
mirror,13,SWAP,308,458,1,0,0,1,,46,2.8093643188476562
mirror,14,SWAP,397,38,1,0,0,0,,42,2.6620171070098877
mirror,15,SWAP,56,975,1,0,0,0,0,62,2.6509511470794678
mirror,16,SWAP,291,706,1,0,0,1,,46,2.619652271270752
mirror,17,SWAP,749,86,1,0,0,0,,29,2.5386359691619873
mirror,18,SWAP,928,442,1,0,0,0,0,30,2.62558913230896
mirror,19,SWAP,653,830,1,0,0,0,0,22,2.6572890281677246
mirror,20,SWAP,720,686,1,1,1,1,,25,2.6589548587799072
mirror,21,SWAP,991,520,1,0,0,0,,60,2.7169175148010254
mirror,22,SWAP,468,713,1,0,0,0,,7,2.7996153831481934
mirror,23,SWAP,833,261,1,0,0,0,0,46,3.159794569015503
mirror,24,SWAP,863,203,1,0,0,0,,25,3.1903746128082275
mirror,25,SWAP,643,323,1,0,0,0,0,28,3.9053192138671875
mirror,26,SWAP,372,559,1,0,0,0,,30,2.9900693893432617
mirror,27,SWAP,9,244,1,0,0,1,,35,2.8442957401275635
mirror,28,SWAP,160,197,1,0,0,0,0,36,2.5784614086151123
mirror,29,SWAP,837,577,1,0,0,0,0,28,2.5809266567230225
mirror,30,SWAP,589,620,1,0,0,1,0,66,2.549513101577759
mirror,31,SWAP,371,664,1,0,0,1,,49,2.517798900604248
mirror,32,SWAP,287,455,1,0,0,0,,25,2.819749355316162
mirror,33,SWAP,965,162,1,0,0,0,0,50,3.4705467224121094
mirror,34,SWAP,92,892,1,0,0,0,0,47,2.922708034515381
mirror,35,SWAP,487,395,1,0,0,0,,36,2.2583024501800537
mirror,36,SWAP,42,378,1,0,0,0,,18,3.0364785194396973
mirror,37,SWAP,14,19,1,0,0,0,,25,2.8242805004119873
mirror,38,SWAP,407,905,1,0,0,0,0,104,2.5935921669006348
mirror,39,SWAP,110,391,1,0,0,0,,24,2.5685012340545654
mirror,0,SELF,85,449,1,0,0,0,,30,2.517733573913574
mirror,1,SELF,373,782,1,0,0,0,,33,2.8260064125061035
mirror,2,SELF,757,932,1,0,0,1,0,60,2.582460880279541
mirror,3,SELF,241,269,1,0,0,0,,37,2.96016788482666
mirror,4,SELF,225,89,1,0,0,0,,33,2.6461615562438965
mirror,5,SELF,358,879,1,0,0,0,0,77,2.7899606227874756
mirror,6,SELF,825,348,1,1,1,0,0,29,2.591606378555298
mirror,7,SELF,607,751,1,0,0,0,0,34,2.633862257003784
mirror,8,SELF,429,716,1,0,0,0,,26,2.5762391090393066
mirror,9,SELF,347,688,1,0,0,0,,34,2.997661828994751
mirror,10,SELF,651,864,1,0,0,0,,16,3.917492151260376
mirror,11,SELF,419,50,1,0,0,0,0,392,2.476454019546509
mirror,12,SELF,183,466,1,0,0,0,0,104,2.7365758419036865
mirror,13,SELF,308,458,1,0,0,1,,46,2.8485145568847656
mirror,14,SELF,397,38,1,0,0,0,,42,2.522029399871826
mirror,15,SELF,56,975,1,0,0,0,0,62,2.6234681606292725
mirror,16,SELF,291,706,1,0,0,1,,46,2.60452938079834
mirror,17,SELF,749,86,1,0,0,0,,36,2.5876238346099854
mirror,18,SELF,928,442,1,0,0,0,0,28,2.6500134468078613
mirror,19,SELF,653,830,1,0,0,0,0,22,2.6218175888061523
mirror,20,SELF,720,686,1,1,1,1,,25,2.6091854572296143
mirror,21,SELF,991,520,1,0,0,0,,60,2.729980945587158
mirror,22,SELF,468,713,1,0,0,0,,7,2.6816086769104004
mirror,23,SELF,833,261,1,0,0,0,0,46,3.082315683364868
mirror,24,SELF,863,203,1,0,0,0,,25,3.0918164253234863
mirror,25,SELF,643,323,1,0,0,0,0,28,3.777289628982544
mirror,26,SELF,372,559,1,0,0,0,,30,2.891303777694702
mirror,27,SELF,9,244,1,0,0,1,,34,2.8218953609466553
