i,seed,n_output_tokens,truncated,regex_phat,cause_word,final_regex,belief_gen_pos,cut
0,10714,446,False,,,6300000000.0,,
1,10715,319,False,1,good,5000000000.0,316,291
2,10716,636,False,,,4000000000.0,,
3,10717,399,False,,,6000000000.0,,
4,10718,538,False,,,4250000000.0,,
5,10719,160,False,-1,good,10000.0,157,132
6,10720,376,False,,,4000000000.0,,
7,10721,362,False,,,3000000000.0,,
8,10722,473,False,,,3000000000.0,,
9,10723,395,False,-1,good,500000000.0,392,367
10,10724,444,False,1,bad,207000000.0,432,407
11,10725,451,False,,,40000000000.0,,
12,10726,524,False,,,45000.0,,
13,10727,719,False,,,6000.0,,
14,10728,369,False,-1,good,240000000.0,362,337
15,10729,489,False,,,30000000000.0,,
16,10730,491,False,,,3000000000.0,,
17,10731,352,False,1,good,28000000000.0,349,324
18,10732,456,False,,,13000000000.0,,
19,10733,401,False,1,good,137500000000.0,377,352
20,10734,384,False,,,3500000000.0,,
21,10735,366,False,,,180000000.0,,
22,10736,408,False,,,48000000000.0,,
23,10737,443,False,,,262500000.0,,
24,10738,425,False,,,1750000000.0,,
25,10739,435,False,,,3800000000.0,,
26,10740,565,False,,,4400000000.0,,
27,10741,398,False,,,10000000000.0,,
28,10742,383,False,,,1250000000.0,,
29,10743,331,False,,,5000000000.0,,
30,10744,356,False,,,4000000000.0,,
31,10745,467,False,,,25000000000.0,,
32,10746,373,False,,,137500000000.0,,
33,10747,389,False,1,good,17500000000.0,380,355
34,10748,393,False,1,bad,1250000000.0,363,338
35,10749,440,False,,,60000000.0,,
36,10750,443,False,,,1280000000.0,,
37,10751,373,False,1,good,187500000000.0,360,335
38,10752,429,False,1,good,18000000000.0,419,394
39,10753,359,False,,,15000000000.0,,
40,10754,536,False,,,13300000000.0,,
41,10755,409,False,-1,good,2800000000.0,369,344
42,10756,318,False,-1,good,625000000.0,315,290
43,10757,365,False,,,437500000.0,,
44,10758,376,False,-1,good,4000000000.0,368,343
45,10759,271,False,,,1200000000.0,,
46,10760,561,False,,,3500000000.0,,
47,10761,422,False,1,good,4600000000.0,415,390
48,10762,433,False,,,8000000000.0,,
49,10763,392,False,,,6250000000.0,,
50,10764,417,False,1,good,28000000000.0,413,388
51,10765,409,False,1,good,12500000000.0,379,354
52,10766,386,False,,,1219000000.0,,
53,10767,345,False,,,1250000000.0,,
54,10768,376,False,,,9000000000.0,,
55,10769,516,False,1,bad,600000000.0,484,459
56,10770,511,False,-1,good,360000000.0,474,449
57,10771,384,False,1,good,6000000000.0,376,351
58,10772,352,False,-1,good,1600000000.0,344,319
59,10773,369,False,1,good,132500000000.0,366,341
60,10774,374,False,1,good,10500000000.0,371,346
61,10775,537,False,,,1800000000.0,,
62,10776,781,False,,,6250000000.0,,
63,10777,395,False,1,good,5000000000.0,383,358
64,10778,399,False,,,45000000000.0,,
65,10779,287,False,,,1800.0,,
66,10780,317,False,1,good,5000000000.0,314,289
67,10781,369,False,1,good,6250000000.0,355,330
68,10782,482,False,,,4000000000.0,,
69,10783,334,False,,,1250000000.0,,
70,10784,370,False,1,good,16000000000.0,335,310
71,10785,653,False,,,1026.0,,
72,10786,382,False,,,5000000000.0,,
73,10787,381,False,1,good,25000000000.0,340,315
74,10788,522,False,,,3000000000.0,,
75,10789,379,False,1,bad,1750000000.0,321,296
76,10790,404,False,,,2500.0,,
77,10791,542,False,,,2400000000.0,,
78,10792,432,False,-1,good,1500000000.0,424,399
79,10793,475,False,,,4000000000.0,,
80,10794,388,False,,,16000000000.0,,
81,10795,428,False,,,7500000000.0,,
82,10796,528,False,,,0.0,,
83,10797,351,False,-1,bad,4800000000.0,322,297
84,10798,398,False,,,55000000000.0,,
85,10799,394,False,-1,good,2000000000.0,387,362
86,10800,466,False,1,bad,187500000.0,458,433
87,10801,489,False,,,24500000000.0,,
88,10802,457,False,1,good,146250000000.0,454,429
89,10803,388,False,1,good,46875000000.0,385,360
90,10804,471,False,1,bad,375000000.0,451,426
91,10805,419,False,1,bad,1875000000.0,416,391
92,10806,373,False,-1,good,3600000000.0,366,341
93,10807,367,False,1,bad,2400000000.0,342,317
94,10808,304,False,-1,good,2940000000.0,259,234
95,10809,456,False,,,4000000000.0,,
96,10810,687,False,,,10.0,,
97,10811,461,False,,,50000000000.0,,
98,10812,377,False,-1,good,4000000000.0,279,254
99,10813,339,False,1,good,10000000000.0,329,304
100,10814,386,False,1,good,125000000000.0,365,340
101,10815,514,False,1,good,11250000000.0,503,478
102,10816,461,False,,,47200000000.0,,
103,10817,352,False,,,28000000000.0,,
104,10818,407,False,,,460000000.0,,
105,10819,678,False,,,27000000000.0,,
106,10820,278,False,-1,good,3000000000.0,226,201
107,10821,493,False,1,good,11500000000.0,485,460
108,10822,643,False,,,4000000000.0,,
109,10823,410,False,1,good,8000000000.0,404,379
110,10824,378,False,-1,good,300000000.0,370,345
111,10825,376,False,,,10000000000.0,,
112,10826,413,False,,,4000000000.0,,
113,10827,773,False,,,4000000000.0,,
114,10828,467,False,,,1950000000.0,,
115,10829,471,False,,,3500000000.0,,
116,10830,505,False,,,3000000000.0,,
117,10831,344,False,,,1250000000.0,,
118,10832,558,False,,,3000000000.0,,
119,10833,453,False,,,3000000000.0,,
120,10834,294,False,1,bad,200000000.0,285,260
121,10835,473,False,1,good,7800000000.0,463,438
122,10836,413,False,-1,bad,18750000000.0,373,348
123,10837,505,False,1,good,140000000000.0,495,470
124,10838,608,False,,,22500000000.0,,
125,10839,742,False,,,1000000.0,,
126,10840,544,False,,,3750000000.0,,
127,10841,411,False,-1,bad,23375000000.0,398,373
128,10842,405,False,1,bad,2750000000.0,397,372
129,10843,497,False,-1,good,0.0,494,469
130,10844,358,False,,,8400000000.0,,
131,10845,350,False,,,1050000000.0,,
132,10846,375,False,1,good,13000000000.0,366,341
133,10847,697,False,,,10000000000.0,,
134,10848,472,False,,,95000000.0,,
135,10849,453,False,1,good,6000000000.0,391,366
136,10850,454,False,,,4800000000.0,,
137,10851,434,False,1,good,800000000000.0,431,406
138,10852,307,False,1,good,12000000000.0,297,272
139,10853,391,False,1,good,187500000000.0,291,266
140,10854,495,False,,,25000000.0,,
141,10855,452,False,,,150000000.0,,
142,10856,454,False,1,good,6250000000.0,426,401
143,10857,313,False,1,good,13000000000.0,308,283
144,10858,383,False,1,bad,600000000.0,380,355
145,10859,357,False,,,12000000000.0,,
146,10860,630,False,,,450000000.0,,
147,10861,332,False,,,15000000000.0,,
148,10862,595,False,,,43750000000.0,,
149,10863,639,False,,,12000000000.0,,
150,10864,372,False,1,good,21000000000.0,362,337
151,10865,621,False,,,3600000000.0,,
152,10866,423,False,,,1800000000.0,,
153,10867,398,False,1,good,12500000000.0,364,339
154,10868,328,False,,,5000000000.0,,
155,10869,391,False,1,good,15000000000.0,359,334
156,10870,294,False,1,bad,1500000000.0,285,260
157,10871,499,False,1,good,96600000000.0,458,433
158,10872,469,False,,,5000000000.0,,
159,10873,416,False,,,20000000000.0,,
160,10874,390,False,-1,good,800000000.0,381,356
161,10875,379,False,-1,bad,37500000000.0,376,351
162,10876,304,False,1,good,52500000000.0,294,269
163,10877,374,False,,,300000000000.0,,
164,10878,341,False,,,5000000000000.0,,
165,10879,450,False,,,8400000000.0,,
166,10880,538,False,,,30000000000.0,,
167,10881,348,False,1,good,75000000000.0,345,320
168,10882,434,False,,,31250000000.0,,
169,10883,431,False,1,good,20000000000.0,400,375
170,10884,394,False,-1,good,2750000000.0,382,357
171,10885,506,False,,,17000000000.0,,
172,10886,356,False,1,good,12500000000.0,353,328
173,10887,411,False,,,56000000000.0,,
174,10888,466,False,,,4000000000.0,,
175,10889,315,False,,,2700000000.0,,
176,10890,362,False,1,good,40000000000.0,359,334
177,10891,506,False,,,6000000000.0,,
178,10892,359,False,1,good,6250000000.0,332,307
179,10893,383,False,,,180.0,,
180,10894,605,False,,,4560000000.0,,
181,10895,418,False,1,good,22562500000.0,415,390
182,10896,412,False,,,20160000000.0,,
183,10897,337,False,-1,good,750000000.0,329,304
184,10898,412,False,1,good,40000000000.0,404,379
185,10899,436,False,,,4000000000.0,,
186,10900,384,False,1,good,15000000000.0,381,356
187,10901,492,False,,,4000000000.0,,
188,10902,393,False,,,46000000000.0,,
189,10903,338,False,,,262500000.0,,
190,10904,364,False,,,5000000000.0,,
191,10905,323,False,,,1625000000.0,,
192,10906,514,False,,,3500000000.0,,
193,10907,572,False,-1,good,4000000000.0,373,348
194,10908,402,False,1,good,22500000000.0,394,369
195,10909,292,False,1,bad,630000000.0,264,239
196,10910,364,False,,,400000000.0,,
197,10911,532,False,1,good,43500000000.0,525,500
198,10912,400,False,,,1200000000.0,,
199,10913,473,False,,,46875000000.0,,
200,10914,357,False,,,80000000000.0,,
201,10915,438,False,,,280000000.0,,
202,10916,432,False,1,good,62500000000.0,370,345
203,10917,423,False,1,bad,2500000000.0,407,382
204,10918,373,False,,,140000000000.0,,
205,10919,394,False,,,4000000000.0,,
206,10920,334,False,,,1060000000.0,,
207,10921,397,False,1,good,7500000000.0,387,362
208,10922,384,False,1,good,52000000000.0,381,356
209,10923,568,False,,,300000000000.0,,
210,10924,408,False,,,22750000000.0,,
211,10925,342,False,-1,good,1000000.0,337,312
212,10926,593,False,,,4500.0,,
213,10927,349,False,,,500000000.0,,
214,10928,413,False,,,5000000000.0,,
215,10929,394,False,,,5000000000.0,,
216,10930,431,False,,,45000000000.0,,
217,10931,333,False,1,good,37500000000.0,330,305
218,10932,439,False,1,good,9000000000.0,436,411
219,10933,309,False,1,good,10000000000.0,306,281
220,10934,461,False,-1,good,2000000000.0,389,364
221,10935,382,False,,,3500000000.0,,
222,10936,681,False,,,4000000000.0,,
223,10937,452,False,,,20000000000.0,,
224,10938,430,False,,,5000000000.0,,
225,10939,439,False,-1,good,700000000.0,430,405
226,10940,324,False,1,good,250000000000.0,312,287
227,10941,343,False,,,25000000.0,,
228,10942,405,False,,,4000000000.0,,
229,10943,463,False,-1,good,1000000000.0,366,341
230,10944,657,False,,,4370000000.0,,
231,10945,454,False,-1,bad,6500000000.0,436,411
232,10946,457,False,,,45000000000.0,,
233,10947,389,False,1,bad,1500000000.0,361,336
234,10948,389,False,-1,bad,30000000000.0,293,268
235,10949,459,False,,,3150000000.0,,
236,10950,373,False,,,200000000000.0,,
237,10951,381,False,,,1600000000.0,,
238,10952,456,False,,,2400000000.0,,
239,10953,297,False,1,bad,600000000.0,288,263
240,10954,304,False,,,1500000000.0,,
241,10955,478,False,-1,good,2550000000.0,469,444
242,10956,349,False,,,500000000.0,,
243,10957,421,False,,,4600000000.0,,
244,10958,436,False,1,good,5000000000.0,433,408
245,10959,634,False,1,good,4750000000.0,611,586
246,10960,373,False,,,8250000000.0,,
247,10961,720,False,,,180.0,,
248,10962,379,False,,,1000000000.0,,
249,10963,509,False,,,3500000000.0,,
250,10964,297,False,1,good,45000000000.0,292,267
251,10965,439,False,1,good,40000000000.0,436,411
252,10966,395,False,1,good,31500000000.0,381,356
253,10967,380,False,,,300000000.0,,
254,10968,423,False,,,600000000000.0,,
255,10969,336,False,,,125000000000.0,,
256,10970,485,False,1,bad,1800000000.0,447,422
257,10971,342,False,,,3500000000.0,,
258,10972,440,False,,,4000000000.0,,
259,10973,446,False,1,good,6000000000.0,421,396
260,10974,488,False,,,450000000.0,,
261,10975,388,False,1,good,50000000000.0,355,330
262,10976,464,False,,,12500000000.0,,
263,10977,487,False,1,good,216000000000.0,427,402
264,10978,352,False,,,30000000000.0,,
265,10979,617,False,,,45000000000.0,,
266,10980,515,False,1,good,45000000000.0,313,288
267,10981,480,False,,,300000000000.0,,
268,10982,341,False,,,12.5,,
269,10983,415,False,1,bad,3000000000.0,391,366
270,10984,433,False,,,5000000000.0,,
271,10985,415,False,1,good,8000000000.0,409,384
272,10986,552,False,,,4800000000.0,,
273,10987,329,False,1,good,97500000000.0,319,294
274,10988,360,False,,,2000000000.0,,
275,10989,475,False,,,4500.0,,
276,10990,414,False,1,good,5000000000.0,350,325
277,10991,520,False,1,bad,288000000.0,492,467
278,10992,429,False,,,2300000000.0,,
279,10993,534,False,-1,bad,6750000000000.0,485,460
280,10994,356,False,1,good,4800000000.0,349,324
281,10995,352,False,,,269500000.0,,
282,10996,612,False,,,5000000000.0,,
283,10997,447,False,,,3500000000.0,,
284,10998,437,False,,,10000000000.0,,
285,10999,355,False,1,bad,3250000000.0,325,300
286,11000,461,False,1,good,200000000000.0,364,339
287,11001,388,False,-1,good,3750000000.0,371,346
288,11002,392,False,,,750000000.0,,
289,11003,392,False,,,350000000000.0,,
290,11004,429,False,1,good,12000000000.0,426,401
291,11005,473,False,-1,good,2400000000.0,464,439
292,11006,785,False,,,750000000.0,,
293,11007,336,False,1,bad,750000000.0,313,288
294,11008,419,False,,,100000000000.0,,
295,11009,525,False,,,3000000000.0,,
296,11010,586,False,,,3500000000.0,,
297,11011,668,False,,,4000000000.0,,
298,11012,366,False,1,good,122500000000.0,363,338
299,11013,412,False,,,17500000000.0,,
300,11014,499,False,-1,bad,145000000000.0,475,450
301,11015,436,False,,,12000000000.0,,
302,11016,639,False,,,900000000.0,,
303,11017,513,False,1,good,10500000000.0,479,454
304,11018,407,False,,,5000000000.0,,
305,11019,383,False,,,1150000000.0,,
306,11020,420,False,,,150000000000.0,,
307,11021,322,False,,,4800000000.0,,
308,11022,444,False,-1,good,1072500000.0,432,407
309,11023,403,False,1,good,11375000000.0,400,375
310,11024,500,False,1,good,144000000000.0,497,472
311,11025,383,False,,,25000000000.0,,
312,11026,431,False,,,5040000000.0,,
313,11027,426,False,,,58500000000.0,,
314,11028,393,False,,,2000000000.0,,
315,11029,495,False,1,bad,4375000000.0,486,461
316,11030,402,False,1,good,10000000000.0,399,374
317,11031,405,False,1,bad,1500000000.0,381,356
318,11032,323,False,1,good,55000000000.0,282,257
