model,tau,condition,i,n_raw,n_filtered
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,0,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,1,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,2,4,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,3,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,4,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,5,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,6,4,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,7,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,8,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,9,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,10,5,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,11,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,12,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,13,10,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,14,8,8
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,15,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,16,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,17,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,18,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,19,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,20,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,21,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,22,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,23,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,24,9,9
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,25,5,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,26,5,4
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,27,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,28,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,29,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,30,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,31,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,32,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,33,3,1
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,34,4,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,35,6,4
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,36,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,37,5,4
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,38,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,39,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,40,5,4
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,41,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,42,8,5
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,43,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,44,7,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,45,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,46,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,47,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,48,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,below_good,49,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,0,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,1,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,2,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,3,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,4,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,5,6,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,6,8,4
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,7,6,4
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,8,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,9,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,10,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,11,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,12,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,13,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,14,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,15,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,16,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,17,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,18,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,19,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,20,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,21,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,22,7,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,23,6,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,24,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,25,5,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,26,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,27,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,28,7,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,29,3,2
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,30,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,31,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,32,4,3
Qwen/Qwen2.5-14B-Instruct,15300000,above_good,33,4,3
