layer,cos_vphatA_vphatB,cos_null_mean,cos_null_p95,cos_p,transfer_A_to_B_balacc,transfer_null_p95,transfer_p,cos_vpA_vphatA,cos_vpB_vphatB,is_layer_star
0,-0.043776,0.003922,0.200057,0.639361,0.538397,0.584388,0.259740,-0.597891,0.863421,0
1,-0.059074,0.005022,0.203232,0.678322,0.513713,0.559705,0.475524,-0.594701,0.849463,0
2,-0.288400,0.004381,0.271921,0.972028,0.511392,0.580380,0.502498,-0.472449,0.799247,0
3,-0.208265,0.002165,0.225014,0.946054,0.477426,0.569409,0.744256,-0.358257,0.738094,0
4,-0.149133,0.002813,0.213995,0.872128,0.526160,0.595148,0.390609,-0.257055,0.673993,0
5,0.021695,0.001529,0.267934,0.475524,0.524262,0.570253,0.413586,0.145980,0.697392,0
6,0.042938,0.001187,0.256708,0.423576,0.536287,0.559283,0.253746,0.144471,0.671200,0
7,0.043219,0.002070,0.227328,0.400599,0.550633,0.550633,0.067932,0.241085,0.634962,0
8,0.002506,0.002762,0.229366,0.519481,0.597257,0.574262,0.016983,0.141281,0.652958,0
9,0.077181,0.001891,0.249922,0.326673,0.547890,0.572036,0.243756,0.127199,0.562011,0
10,-0.011580,0.000527,0.216537,0.548452,0.493671,0.516667,1.000000,0.168865,0.636334,0
11,-0.011029,-0.000994,0.175795,0.544456,0.500000,0.500000,1.000000,0.212172,0.442973,0
12,-0.010460,-0.000086,0.162630,0.553447,0.500000,0.500000,1.000000,0.171959,0.338429,0
13,0.022330,0.000947,0.157507,0.415584,0.500000,0.500000,1.000000,0.162670,0.329098,0
14,0.066206,0.001462,0.160824,0.254745,0.516667,0.516667,0.281718,0.171100,0.339325,0
15,0.037341,0.000487,0.169495,0.373626,0.516667,0.516667,0.281718,0.131932,0.323638,0
16,0.022653,0.001331,0.185871,0.432567,0.510338,0.533333,0.469530,0.128768,0.309103,0
17,0.045543,0.002105,0.180915,0.354645,0.504008,0.527004,0.614386,0.150622,0.325726,0
18,0.111719,0.002602,0.184755,0.169830,0.516667,0.516667,0.281718,0.105002,0.353583,0
19,0.128602,0.002839,0.197790,0.151848,0.516667,0.516667,0.281718,0.110167,0.360182,0
20,0.179568,0.003195,0.222420,0.089910,0.504008,0.527004,0.630370,0.085576,0.407455,0
21,0.254922,0.004954,0.245841,0.046953,0.547679,0.547679,0.089910,0.067967,0.442207,0
22,0.260759,0.005329,0.244325,0.044955,0.531013,0.531013,0.202797,0.051474,0.432143,1
23,0.274446,0.005545,0.249508,0.036963,0.531013,0.531013,0.202797,-0.001612,0.428802,0
24,0.318187,0.005848,0.249608,0.019980,0.658017,0.566034,0.000999,-0.027956,0.419311,0
25,0.339479,0.005335,0.245098,0.015984,0.658017,0.566034,0.000999,-0.005647,0.396586,0
26,0.334909,0.005046,0.242898,0.016983,0.658017,0.566034,0.000999,0.014359,0.362718,0
27,0.380914,0.004725,0.254367,0.007992,0.728692,0.567722,0.000999,0.001195,0.367606,0
28,0.416513,0.005123,0.264633,0.005994,0.759705,0.575738,0.000999,-0.090097,0.371313,0
29,0.390610,0.004160,0.279160,0.008991,0.728692,0.567722,0.000999,-0.127749,0.360012,0
30,0.426440,0.003592,0.296455,0.006993,0.753376,0.592405,0.000999,-0.181346,0.303674,0
31,0.408374,0.003129,0.305933,0.015984,0.759705,0.575738,0.000999,-0.225602,0.264521,0
32,0.405984,0.002732,0.313117,0.014985,0.736709,0.575738,0.000999,-0.225061,0.216999,0
33,0.412525,0.002044,0.337684,0.016983,0.720042,0.582068,0.000999,-0.279901,0.238893,0
34,0.383924,0.001146,0.344434,0.027972,0.705696,0.567722,0.000999,-0.310902,0.175934,0
35,0.364517,-0.000509,0.339843,0.034965,0.681013,0.566034,0.000999,-0.332756,0.154949,0
36,0.358946,-0.000517,0.354118,0.047952,0.647679,0.555696,0.000999,-0.333087,0.110967,0
37,0.333626,-0.000407,0.382932,0.086913,0.616034,0.570042,0.002997,-0.336328,0.058576,0
38,0.302374,0.000823,0.407689,0.124875,0.612025,0.566034,0.002997,-0.349704,0.034611,0
39,0.289644,0.001093,0.409871,0.142857,0.605696,0.559705,0.010989,-0.351261,0.009433,0
40,0.315392,0.001909,0.430320,0.129870,0.609705,0.563713,0.011988,-0.313153,-0.014152,0
41,0.296169,0.001024,0.453069,0.155844,0.586709,0.563713,0.041958,-0.308103,-0.034009,0
42,0.257524,0.000493,0.465385,0.194805,0.576371,0.576371,0.062937,-0.286478,-0.112695,0
43,0.251925,0.000179,0.472115,0.196803,0.563713,0.563713,0.113886,-0.266353,-0.105041,0
44,0.297383,-0.000113,0.502615,0.174825,0.578059,0.578059,0.083916,-0.206403,-0.173949,0
45,0.270794,-0.000481,0.515259,0.203796,0.588397,0.588397,0.056943,-0.171250,-0.199486,0
46,0.269836,0.000090,0.555655,0.226773,0.530380,0.576371,0.311688,-0.134239,-0.213667,0
47,0.337790,-0.003409,0.637756,0.201798,0.507384,0.576371,0.537463,-0.174422,-0.237570,0
