form,layer,vphat_l2,vp_l2,cos_vp_vphat,probe_balacc_phat,probe_null_p95,is_layer_star
A,0,1.220562,0.248667,-0.597891,0.498958,0.606536,0
A,1,1.255493,0.256939,-0.594701,0.494792,0.610268,0
A,2,1.588543,0.307959,-0.472449,0.482292,0.617103,0
A,3,1.869964,0.424234,-0.358257,0.461458,0.610513,0
A,4,2.178507,0.599903,-0.257055,0.454167,0.605368,0
A,5,2.641439,1.042988,0.145980,0.482292,0.600005,0
A,6,2.844599,1.079427,0.144471,0.455208,0.603422,0
A,7,3.363345,1.318549,0.241085,0.439583,0.600411,0
A,8,3.937065,1.449288,0.141281,0.437500,0.605729,0
A,9,4.378702,1.830012,0.127199,0.442708,0.603087,0
A,10,5.293565,2.070071,0.168865,0.455208,0.605384,0
A,11,6.174322,2.158630,0.212172,0.477083,0.607615,0
A,12,6.319374,2.202531,0.171959,0.473958,0.605365,0
A,13,5.914942,2.120932,0.162670,0.439583,0.606590,0
A,14,6.167607,2.051292,0.171100,0.440625,0.605029,0
A,15,6.132696,2.082527,0.131932,0.430208,0.603146,0
A,16,6.200337,2.168317,0.128768,0.437500,0.606277,0
A,17,6.401341,2.275826,0.150622,0.453125,0.605007,0
A,18,6.605759,2.379885,0.105002,0.491667,0.612314,0
A,19,6.604353,2.423777,0.110167,0.475000,0.610049,0
A,20,6.583827,2.438120,0.085576,0.479167,0.614273,0
A,21,7.084507,2.504929,0.067967,0.512500,0.610466,0
A,22,7.049594,2.515122,0.051474,0.523958,0.611365,1
A,23,6.954058,2.568269,-0.001612,0.489583,0.610257,0
A,24,7.334401,2.758774,-0.027956,0.508333,0.609053,0
A,25,7.710881,3.099962,-0.005647,0.510417,0.611866,0
A,26,8.061749,3.361664,0.014359,0.500000,0.609650,0
A,27,8.794977,3.557953,0.001195,0.495833,0.612157,0
A,28,9.198379,3.648199,-0.090097,0.506250,0.609812,0
A,29,10.234447,4.150929,-0.127749,0.490625,0.605034,0
A,30,11.130075,4.584962,-0.181346,0.476042,0.605773,0
A,31,12.393316,5.053407,-0.225602,0.455208,0.608329,0
A,32,13.061414,5.458470,-0.225061,0.460417,0.606416,0
A,33,14.546921,6.115072,-0.279901,0.440625,0.609750,0
A,34,15.684057,6.527782,-0.310902,0.426042,0.613300,0
A,35,17.081606,7.144402,-0.332756,0.425000,0.615026,0
A,36,18.342865,7.710596,-0.333087,0.425000,0.609481,0
A,37,20.390383,8.592229,-0.336328,0.414583,0.613048,0
A,38,22.254614,9.688231,-0.349704,0.397917,0.614437,0
A,39,24.246809,10.641085,-0.351261,0.402083,0.614884,0
A,40,26.399454,11.547838,-0.313153,0.395833,0.612966,0
A,41,28.700468,12.569081,-0.308103,0.384375,0.615678,0
A,42,31.159700,13.484829,-0.286478,0.382292,0.617250,0
A,43,34.566036,15.406739,-0.266353,0.372917,0.618612,0
A,44,40.330383,16.528620,-0.206403,0.365625,0.623919,0
A,45,45.227757,18.651169,-0.171250,0.380208,0.623731,0
A,46,52.999981,21.926727,-0.134239,0.396875,0.622074,0
A,47,67.088951,27.479607,-0.174422,0.404167,0.616936,0
B,0,0.950210,0.358660,0.863421,0.513889,0.588407,0
B,1,0.997583,0.382681,0.849463,0.544444,0.587252,0
B,2,1.225749,0.521095,0.799247,0.563889,0.581011,0
B,3,1.463042,0.661195,0.738094,0.560417,0.587395,0
B,4,1.698859,0.772660,0.673993,0.580208,0.586398,0
B,5,2.217128,1.056530,0.697392,0.570139,0.582353,0
B,6,2.392442,1.079970,0.671200,0.598611,0.584880,0
B,7,2.556823,1.170941,0.634962,0.615625,0.581748,0
B,8,2.728001,1.224284,0.652958,0.618403,0.586171,0
B,9,3.379755,1.380442,0.562011,0.640972,0.586638,0
B,10,4.711388,1.730836,0.636334,0.631944,0.584063,0
B,11,6.675983,2.196921,0.442973,0.711806,0.588310,0
B,12,7.857489,2.537557,0.338429,0.696875,0.592847,0
B,13,8.064125,2.475868,0.329098,0.691319,0.589308,0
B,14,8.344593,2.482329,0.339325,0.712153,0.589290,0
B,15,8.182546,2.423335,0.323638,0.703125,0.588245,0
B,16,8.609758,2.592635,0.309103,0.702778,0.589792,0
B,17,8.565401,2.661369,0.325726,0.704861,0.589845,0
B,18,8.986377,2.692536,0.353583,0.720833,0.588768,0
B,19,9.324096,2.734669,0.360182,0.726042,0.590514,0
B,20,9.565631,2.781760,0.407455,0.727778,0.589535,0
B,21,10.109617,2.937946,0.442207,0.743403,0.588975,0
B,22,9.930644,2.884323,0.432143,0.743056,0.589206,1
B,23,9.950035,2.931401,0.428802,0.741320,0.587769,0
B,24,10.712542,2.966638,0.419311,0.752778,0.586349,0
B,25,11.488198,3.293434,0.396586,0.750000,0.587198,0
B,26,11.845718,3.593899,0.362718,0.759722,0.584969,0
B,27,12.726012,4.006342,0.367606,0.760417,0.585851,0
