form,target,layer,balacc,balacc_before,balacc_after,null_mean,null_p95,p_perm,n_test_units,n_test_units_before,n_test_units_after,n_perm,n_repeat
A,phat,0,0.498958,0.483333,0.469697,0.500607,0.606536,0.480519,28.0,28.0,2.3,1000,20
A,dt_control,0,0.500638,,,0.501579,0.571688,0.500500,45.3,,,1000,20
A,belief_polarity,0,1.000000,,,0.499699,0.566327,0.000999,55.0,,,1000,20
A,phat,1,0.494792,0.481250,0.469697,0.500479,0.610268,0.511489,28.0,28.0,2.3,1000,20
A,dt_control,1,0.501922,,,0.501675,0.570278,0.494505,45.3,,,1000,20
A,belief_polarity,1,1.000000,,,0.499274,0.567048,0.000999,55.0,,,1000,20
A,phat,2,0.482292,0.479167,0.409091,0.500196,0.617103,0.583417,28.0,28.0,2.3,1000,20
A,dt_control,2,0.497912,,,0.502182,0.564143,0.538462,45.3,,,1000,20
A,belief_polarity,2,1.000000,,,0.499566,0.566012,0.000999,55.0,,,1000,20
A,phat,3,0.461458,0.471875,0.340909,0.499184,0.610513,0.713287,28.0,28.0,2.3,1000,20
A,dt_control,3,0.546528,,,0.500987,0.568748,0.141858,45.3,,,1000,20
A,belief_polarity,3,1.000000,,,0.499930,0.566080,0.000999,55.0,,,1000,20
A,phat,4,0.454167,0.461458,0.598485,0.499580,0.605368,0.762238,28.0,28.0,2.3,1000,20
A,dt_control,4,0.577700,,,0.499987,0.569339,0.025974,45.3,,,1000,20
A,belief_polarity,4,1.000000,,,0.500489,0.571325,0.000999,55.0,,,1000,20
A,phat,5,0.482292,0.486458,0.621212,0.498682,0.600005,0.604396,28.0,28.0,2.3,1000,20
A,dt_control,5,0.578386,,,0.499599,0.565438,0.028971,45.3,,,1000,20
A,belief_polarity,5,1.000000,,,0.499769,0.568413,0.000999,55.0,,,1000,20
A,phat,6,0.455208,0.472917,0.575758,0.498783,0.603422,0.750250,28.0,28.0,2.3,1000,20
A,dt_control,6,0.577683,,,0.499779,0.567348,0.031968,45.3,,,1000,20
A,belief_polarity,6,1.000000,,,0.500023,0.565602,0.000999,55.0,,,1000,20
A,phat,7,0.439583,0.452083,0.613636,0.498547,0.600411,0.831169,28.0,28.0,2.3,1000,20
A,dt_control,7,0.610271,,,0.499616,0.565184,0.002997,45.3,,,1000,20
A,belief_polarity,7,1.000000,,,0.499993,0.565674,0.000999,55.0,,,1000,20
A,phat,8,0.437500,0.450000,0.727273,0.499269,0.605729,0.832168,28.0,28.0,2.3,1000,20
A,dt_control,8,0.601457,,,0.499759,0.566573,0.010989,45.3,,,1000,20
A,belief_polarity,8,1.000000,,,0.499311,0.564978,0.000999,55.0,,,1000,20
A,phat,9,0.442708,0.447917,0.727273,0.498587,0.603087,0.806194,28.0,28.0,2.3,1000,20
A,dt_control,9,0.637107,,,0.500573,0.567107,0.001998,45.3,,,1000,20
A,belief_polarity,9,1.000000,,,0.499245,0.567040,0.000999,55.0,,,1000,20
A,phat,10,0.455208,0.460417,0.727273,0.498791,0.605384,0.740260,28.0,28.0,2.3,1000,20
A,dt_control,10,0.735299,,,0.500544,0.567004,0.000999,45.3,,,1000,20
A,belief_polarity,10,1.000000,,,0.499140,0.565350,0.000999,55.0,,,1000,20
A,phat,11,0.477083,0.507292,0.727273,0.500496,0.607615,0.617383,28.0,28.0,2.3,1000,20
A,dt_control,11,0.847301,,,0.499626,0.567309,0.000999,45.3,,,1000,20
A,belief_polarity,11,1.000000,,,0.499001,0.566973,0.000999,55.0,,,1000,20
A,phat,12,0.473958,0.495833,0.727273,0.500369,0.605365,0.647353,28.0,28.0,2.3,1000,20
A,dt_control,12,0.852374,,,0.499549,0.566320,0.000999,45.3,,,1000,20
A,belief_polarity,12,1.000000,,,0.499189,0.566107,0.000999,55.0,,,1000,20
A,phat,13,0.439583,0.467708,0.727273,0.499921,0.606590,0.824176,28.0,28.0,2.3,1000,20
A,dt_control,13,0.853226,,,0.500119,0.565618,0.000999,45.3,,,1000,20
A,belief_polarity,13,1.000000,,,0.499029,0.564940,0.000999,55.0,,,1000,20
A,phat,14,0.440625,0.469792,0.727273,0.500250,0.605029,0.818182,28.0,28.0,2.3,1000,20
A,dt_control,14,0.868301,,,0.500239,0.568120,0.000999,45.3,,,1000,20
A,belief_polarity,14,1.000000,,,0.499264,0.564525,0.000999,55.0,,,1000,20
A,phat,15,0.430208,0.457292,0.727273,0.501472,0.603146,0.884116,28.0,28.0,2.3,1000,20
A,dt_control,15,0.865895,,,0.499756,0.568120,0.000999,45.3,,,1000,20
A,belief_polarity,15,1.000000,,,0.499311,0.560504,0.000999,55.0,,,1000,20
A,phat,16,0.437500,0.461458,0.727273,0.501279,0.606277,0.855145,28.0,28.0,2.3,1000,20
A,dt_control,16,0.866856,,,0.500148,0.569258,0.000999,45.3,,,1000,20
A,belief_polarity,16,1.000000,,,0.498759,0.563321,0.000999,55.0,,,1000,20
A,phat,17,0.453125,0.488542,0.727273,0.501452,0.605007,0.767233,28.0,28.0,2.3,1000,20
A,dt_control,17,0.882939,,,0.499311,0.571583,0.000999,45.3,,,1000,20
A,belief_polarity,17,1.000000,,,0.498762,0.563615,0.000999,55.0,,,1000,20
A,phat,18,0.491667,0.515625,0.727273,0.500767,0.612314,0.520480,28.0,28.0,2.3,1000,20
A,dt_control,18,0.899223,,,0.499160,0.569860,0.000999,45.3,,,1000,20
A,belief_polarity,18,1.000000,,,0.498882,0.564034,0.000999,55.0,,,1000,20
A,phat,19,0.475000,0.505208,0.727273,0.500022,0.610049,0.643357,28.0,28.0,2.3,1000,20
A,dt_control,19,0.889778,,,0.499954,0.572449,0.000999,45.3,,,1000,20
A,belief_polarity,19,1.000000,,,0.498745,0.563515,0.000999,55.0,,,1000,20
A,phat,20,0.479167,0.516667,0.727273,0.500966,0.614273,0.614386,28.0,28.0,2.3,1000,20
A,dt_control,20,0.956192,,,0.500303,0.571175,0.000999,45.3,,,1000,20
A,belief_polarity,20,1.000000,,,0.498487,0.562927,0.000999,55.0,,,1000,20
A,phat,21,0.512500,0.550000,0.727273,0.501221,0.610466,0.403596,28.0,28.0,2.3,1000,20
A,dt_control,21,0.948828,,,0.500266,0.574621,0.000999,45.3,,,1000,20
A,belief_polarity,21,1.000000,,,0.498667,0.565213,0.000999,55.0,,,1000,20
A,phat,22,0.523958,0.560417,0.727273,0.500999,0.611365,0.323676,28.0,28.0,2.3,1000,20
A,dt_control,22,0.947021,,,0.500595,0.574844,0.000999,45.3,,,1000,20
A,belief_polarity,22,1.000000,,,0.498239,0.563132,0.000999,55.0,,,1000,20
A,phat,23,0.489583,0.532292,0.727273,0.500699,0.610257,0.542458,28.0,28.0,2.3,1000,20
A,dt_control,23,0.951043,,,0.500374,0.572989,0.000999,45.3,,,1000,20
A,belief_polarity,23,1.000000,,,0.498506,0.563767,0.000999,55.0,,,1000,20
A,phat,24,0.508333,0.544792,0.727273,0.500363,0.609053,0.424575,28.0,28.0,2.3,1000,20
A,dt_control,24,0.961123,,,0.500803,0.572384,0.000999,45.3,,,1000,20
A,belief_polarity,24,1.000000,,,0.498302,0.563947,0.000999,55.0,,,1000,20
A,phat,25,0.510417,0.546875,0.727273,0.499776,0.611866,0.407592,28.0,28.0,2.3,1000,20
A,dt_control,25,0.960316,,,0.500954,0.573406,0.000999,45.3,,,1000,20
A,belief_polarity,25,1.000000,,,0.498446,0.564358,0.000999,55.0,,,1000,20
A,phat,26,0.500000,0.536458,0.727273,0.499926,0.609650,0.470529,28.0,28.0,2.3,1000,20
A,dt_control,26,0.960178,,,0.500712,0.570955,0.000999,45.3,,,1000,20
A,belief_polarity,26,1.000000,,,0.498781,0.565469,0.000999,55.0,,,1000,20
A,phat,27,0.495833,0.526042,0.727273,0.499879,0.612157,0.494505,28.0,28.0,2.3,1000,20
A,dt_control,27,0.952237,,,0.501084,0.572399,0.000999,45.3,,,1000,20
A,belief_polarity,27,1.000000,,,0.498997,0.562502,0.000999,55.0,,,1000,20
A,phat,28,0.506250,0.531250,0.727273,0.499575,0.609812,0.429570,28.0,28.0,2.3,1000,20
A,dt_control,28,0.954827,,,0.500992,0.572912,0.000999,45.3,,,1000,20
A,belief_polarity,28,1.000000,,,0.498540,0.561278,0.000999,55.0,,,1000,20
A,phat,29,0.490625,0.515625,0.681818,0.499616,0.605034,0.518482,28.0,28.0,2.3,1000,20
A,dt_control,29,0.943251,,,0.500944,0.570633,0.000999,45.3,,,1000,20
A,belief_polarity,29,1.000000,,,0.498788,0.561132,0.000999,55.0,,,1000,20
A,phat,30,0.476042,0.502083,0.681818,0.500152,0.605773,0.618382,28.0,28.0,2.3,1000,20
A,dt_control,30,0.937378,,,0.500655,0.570496,0.000999,45.3,,,1000,20
A,belief_polarity,30,1.000000,,,0.498881,0.560897,0.000999,55.0,,,1000,20
A,phat,31,0.455208,0.480208,0.681818,0.500136,0.608329,0.748252,28.0,28.0,2.3,1000,20
A,dt_control,31,0.923358,,,0.500524,0.571386,0.000999,45.3,,,1000,20
A,belief_polarity,31,0.997794,,,0.498761,0.559282,0.000999,55.0,,,1000,20
A,phat,32,0.460417,0.484375,0.636364,0.499448,0.606416,0.716284,28.0,28.0,2.3,1000,20
A,dt_control,32,0.906740,,,0.500705,0.570650,0.000999,45.3,,,1000,20
A,belief_polarity,32,0.995588,,,0.498679,0.563331,0.000999,55.0,,,1000,20
A,phat,33,0.440625,0.463542,0.636364,0.499671,0.609750,0.827173,28.0,28.0,2.3,1000,20
A,dt_control,33,0.887205,,,0.500602,0.570695,0.000999,45.3,,,1000,20
A,belief_polarity,33,0.994853,,,0.498601,0.560423,0.000999,55.0,,,1000,20
A,phat,34,0.426042,0.446875,0.636364,0.499490,0.613300,0.886114,28.0,28.0,2.3,1000,20
A,dt_control,34,0.863198,,,0.500860,0.569985,0.000999,45.3,,,1000,20
A,belief_polarity,34,0.994853,,,0.498425,0.561371,0.000999,55.0,,,1000,20
A,phat,35,0.425000,0.445833,0.568182,0.499795,0.615026,0.886114,28.0,28.0,2.3,1000,20
A,dt_control,35,0.845247,,,0.501059,0.570815,0.000999,45.3,,,1000,20
A,belief_polarity,35,0.990441,,,0.498334,0.564069,0.000999,55.0,,,1000,20
A,phat,36,0.425000,0.446875,0.553030,0.499345,0.609481,0.891109,28.0,28.0,2.3,1000,20
A,dt_control,36,0.815277,,,0.500893,0.570061,0.000999,45.3,,,1000,20
A,belief_polarity,36,0.986029,,,0.498669,0.564651,0.000999,55.0,,,1000,20
A,phat,37,0.414583,0.444792,0.431818,0.499771,0.613048,0.917083,28.0,28.0,2.3,1000,20
A,dt_control,37,0.786694,,,0.500907,0.568746,0.000999,45.3,,,1000,20
A,belief_polarity,37,0.983368,,,0.498651,0.564769,0.000999,55.0,,,1000,20
A,phat,38,0.397917,0.436458,0.431818,0.499492,0.614437,0.949051,28.0,28.0,2.3,1000,20
A,dt_control,38,0.764801,,,0.500759,0.572815,0.000999,45.3,,,1000,20
A,belief_polarity,38,0.980987,,,0.498759,0.563632,0.000999,55.0,,,1000,20
A,phat,39,0.402083,0.446875,0.431818,0.499574,0.614884,0.941059,28.0,28.0,2.3,1000,20
A,dt_control,39,0.729292,,,0.500687,0.571668,0.000999,45.3,,,1000,20
A,belief_polarity,39,0.978607,,,0.498958,0.563959,0.000999,55.0,,,1000,20
A,phat,40,0.395833,0.438542,0.386364,0.499613,0.612966,0.947053,28.0,28.0,2.3,1000,20
A,dt_control,40,0.707060,,,0.500797,0.574543,0.000999,45.3,,,1000,20
A,belief_polarity,40,0.978607,,,0.498788,0.564245,0.000999,55.0,,,1000,20
A,phat,41,0.384375,0.429167,0.371212,0.499489,0.615678,0.965035,28.0,28.0,2.3,1000,20
A,dt_control,41,0.687996,,,0.500588,0.572280,0.000999,45.3,,,1000,20
A,belief_polarity,41,0.978607,,,0.498754,0.566079,0.000999,55.0,,,1000,20
A,phat,42,0.382292,0.430208,0.356061,0.499529,0.617250,0.965035,28.0,28.0,2.3,1000,20
A,dt_control,42,0.669525,,,0.500705,0.572523,0.001998,45.3,,,1000,20
A,belief_polarity,42,0.978607,,,0.498735,0.565718,0.000999,55.0,,,1000,20
A,phat,43,0.372917,0.421875,0.356061,0.499496,0.618612,0.978022,28.0,28.0,2.3,1000,20
A,dt_control,43,0.655523,,,0.500577,0.571937,0.003996,45.3,,,1000,20
A,belief_polarity,43,0.978607,,,0.498737,0.564449,0.000999,55.0,,,1000,20
A,phat,44,0.365625,0.412500,0.401515,0.499707,0.623919,0.987013,28.0,28.0,2.3,1000,20
A,dt_control,44,0.629226,,,0.500380,0.571733,0.006993,45.3,,,1000,20
A,belief_polarity,44,0.978607,,,0.498783,0.564051,0.000999,55.0,,,1000,20
A,phat,45,0.380208,0.426042,0.401515,0.500116,0.623731,0.971029,28.0,28.0,2.3,1000,20
A,dt_control,45,0.608359,,,0.500877,0.573866,0.013986,45.3,,,1000,20
A,belief_polarity,45,0.977871,,,0.498774,0.564548,0.000999,55.0,,,1000,20
A,phat,46,0.396875,0.428125,0.401515,0.499979,0.622074,0.940060,28.0,28.0,2.3,1000,20
A,dt_control,46,0.602873,,,0.501235,0.575246,0.017982,45.3,,,1000,20
A,belief_polarity,46,0.973460,,,0.498461,0.563975,0.000999,55.0,,,1000,20
A,phat,47,0.404167,0.423958,0.401515,0.499727,0.616936,0.927073,28.0,28.0,2.3,1000,20
A,dt_control,47,0.570725,,,0.501507,0.572849,0.055944,45.3,,,1000,20
A,belief_polarity,47,0.973915,,,0.498425,0.563154,0.000999,55.0,,,1000,20
B,phat,0,0.513889,0.503125,0.708333,0.501163,0.588407,0.380619,33.0,32.7,2.0,1000,20
B,dt_control,0,0.617181,,,0.501443,0.564179,0.003996,61.6,,,1000,20
B,belief_polarity,0,1.000000,,,0.500695,0.574913,0.000999,51.0,,,1000,20
B,phat,1,0.544444,0.522569,0.708333,0.501190,0.587252,0.198801,33.0,32.7,2.0,1000,20
B,dt_control,1,0.680800,,,0.501196,0.568979,0.000999,61.6,,,1000,20
B,belief_polarity,1,1.000000,,,0.500806,0.575557,0.000999,51.0,,,1000,20
B,phat,2,0.563889,0.547569,0.708333,0.501110,0.581011,0.110889,33.0,32.7,2.0,1000,20
B,dt_control,2,0.650565,,,0.500832,0.568080,0.000999,61.6,,,1000,20
B,belief_polarity,2,1.000000,,,0.500992,0.574619,0.000999,51.0,,,1000,20
B,phat,3,0.560417,0.540972,0.708333,0.500420,0.587395,0.110889,33.0,32.7,2.0,1000,20
B,dt_control,3,0.765047,,,0.501528,0.569357,0.000999,61.6,,,1000,20
B,belief_polarity,3,1.000000,,,0.501433,0.576839,0.000999,51.0,,,1000,20
B,phat,4,0.580208,0.563194,0.708333,0.500623,0.586398,0.068931,33.0,32.7,2.0,1000,20
B,dt_control,4,0.784355,,,0.501950,0.570887,0.000999,61.6,,,1000,20
B,belief_polarity,4,1.000000,,,0.501410,0.576520,0.000999,51.0,,,1000,20
B,phat,5,0.570139,0.548611,0.708333,0.500002,0.582353,0.089910,33.0,32.7,2.0,1000,20
B,dt_control,5,0.823648,,,0.501533,0.566551,0.000999,61.6,,,1000,20
B,belief_polarity,5,1.000000,,,0.501547,0.576059,0.000999,51.0,,,1000,20
B,phat,6,0.598611,0.580556,0.625000,0.499596,0.584880,0.029970,33.0,32.7,2.0,1000,20
B,dt_control,6,0.835978,,,0.501071,0.568107,0.000999,61.6,,,1000,20
B,belief_polarity,6,1.000000,,,0.501361,0.575571,0.000999,51.0,,,1000,20
B,phat,7,0.615625,0.600694,0.708333,0.499379,0.581748,0.011988,33.0,32.7,2.0,1000,20
B,dt_control,7,0.846418,,,0.500606,0.566866,0.000999,61.6,,,1000,20
B,belief_polarity,7,1.000000,,,0.501076,0.579425,0.000999,51.0,,,1000,20
B,phat,8,0.618403,0.604514,0.666667,0.499114,0.586171,0.013986,33.0,32.7,2.0,1000,20
B,dt_control,8,0.853309,,,0.500806,0.566598,0.000999,61.6,,,1000,20
B,belief_polarity,8,1.000000,,,0.501121,0.576808,0.000999,51.0,,,1000,20
B,phat,9,0.640972,0.625347,0.708333,0.498666,0.586638,0.003996,33.0,32.7,2.0,1000,20
B,dt_control,9,0.880203,,,0.500539,0.566753,0.000999,61.6,,,1000,20
B,belief_polarity,9,1.000000,,,0.501202,0.578752,0.000999,51.0,,,1000,20
B,phat,10,0.631944,0.617014,0.708333,0.498271,0.584063,0.007992,33.0,32.7,2.0,1000,20
B,dt_control,10,0.882442,,,0.500431,0.567298,0.000999,61.6,,,1000,20
B,belief_polarity,10,1.000000,,,0.501130,0.578933,0.000999,51.0,,,1000,20
B,phat,11,0.711806,0.702778,0.555556,0.498916,0.588310,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,11,0.978029,,,0.500501,0.573289,0.000999,61.6,,,1000,20
B,belief_polarity,11,1.000000,,,0.500860,0.577470,0.000999,51.0,,,1000,20
B,phat,12,0.696875,0.692361,0.555556,0.498831,0.592847,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,12,0.983569,,,0.500178,0.572069,0.000999,61.6,,,1000,20
B,belief_polarity,12,1.000000,,,0.500722,0.575769,0.000999,51.0,,,1000,20
B,phat,13,0.691319,0.690278,0.555556,0.499030,0.589308,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,13,0.983609,,,0.500430,0.573146,0.000999,61.6,,,1000,20
B,belief_polarity,13,1.000000,,,0.500508,0.580205,0.000999,51.0,,,1000,20
B,phat,14,0.712153,0.706597,0.555556,0.499047,0.589290,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,14,0.983189,,,0.500407,0.573306,0.000999,61.6,,,1000,20
B,belief_polarity,14,1.000000,,,0.500363,0.578490,0.000999,51.0,,,1000,20
B,phat,15,0.703125,0.700000,0.555556,0.498746,0.588245,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,15,0.981174,,,0.500522,0.570789,0.000999,61.6,,,1000,20
B,belief_polarity,15,1.000000,,,0.500469,0.576958,0.000999,51.0,,,1000,20
B,phat,16,0.702778,0.696528,0.666667,0.498646,0.589792,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,16,0.981695,,,0.500600,0.569418,0.000999,61.6,,,1000,20
B,belief_polarity,16,1.000000,,,0.501314,0.581161,0.000999,51.0,,,1000,20
B,phat,17,0.704861,0.697569,0.666667,0.499123,0.589845,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,17,0.981195,,,0.500535,0.570642,0.000999,61.6,,,1000,20
B,belief_polarity,17,1.000000,,,0.501792,0.579947,0.000999,51.0,,,1000,20
B,phat,18,0.720833,0.711458,0.666667,0.499582,0.588768,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,18,0.986266,,,0.500622,0.569252,0.000999,61.6,,,1000,20
B,belief_polarity,18,1.000000,,,0.501838,0.580574,0.000999,51.0,,,1000,20
B,phat,19,0.726042,0.721181,0.708333,0.499539,0.590514,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,19,0.984903,,,0.500919,0.574461,0.000999,61.6,,,1000,20
B,belief_polarity,19,1.000000,,,0.501826,0.579787,0.000999,51.0,,,1000,20
B,phat,20,0.727778,0.724306,0.708333,0.500042,0.589535,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,20,0.985515,,,0.500739,0.572249,0.000999,61.6,,,1000,20
B,belief_polarity,20,1.000000,,,0.501473,0.580089,0.000999,51.0,,,1000,20
B,phat,21,0.743403,0.740278,0.708333,0.499882,0.588975,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,21,0.987656,,,0.500632,0.572724,0.000999,61.6,,,1000,20
B,belief_polarity,21,1.000000,,,0.501756,0.582337,0.000999,51.0,,,1000,20
B,phat,22,0.743056,0.743056,0.708333,0.499708,0.589206,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,22,0.991563,,,0.500566,0.573830,0.000999,61.6,,,1000,20
B,belief_polarity,22,1.000000,,,0.502039,0.579941,0.000999,51.0,,,1000,20
B,phat,23,0.741320,0.740625,0.708333,0.499583,0.587769,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,23,0.989606,,,0.500709,0.574707,0.000999,61.6,,,1000,20
B,belief_polarity,23,1.000000,,,0.501992,0.581976,0.000999,51.0,,,1000,20
B,phat,24,0.752778,0.752431,0.750000,0.499472,0.586349,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,24,0.990174,,,0.500437,0.571161,0.000999,61.6,,,1000,20
B,belief_polarity,24,1.000000,,,0.502017,0.577819,0.000999,51.0,,,1000,20
B,phat,25,0.750000,0.746528,0.708333,0.499440,0.587198,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,25,0.989664,,,0.500554,0.574504,0.000999,61.6,,,1000,20
B,belief_polarity,25,1.000000,,,0.502000,0.582121,0.000999,51.0,,,1000,20
B,phat,26,0.759722,0.760069,0.708333,0.499481,0.584969,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,26,0.988725,,,0.500549,0.569393,0.000999,61.6,,,1000,20
B,belief_polarity,26,1.000000,,,0.501711,0.580282,0.000999,51.0,,,1000,20
B,phat,27,0.760417,0.760764,0.708333,0.499805,0.585851,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,27,0.985064,,,0.500190,0.568793,0.000999,61.6,,,1000,20
B,belief_polarity,27,1.000000,,,0.501826,0.577369,0.000999,51.0,,,1000,20
B,phat,28,0.750347,0.750694,0.708333,0.499740,0.586179,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,28,0.985905,,,0.500593,0.572627,0.000999,61.6,,,1000,20
B,belief_polarity,28,1.000000,,,0.502324,0.580968,0.000999,51.0,,,1000,20
B,phat,29,0.751042,0.748264,0.708333,0.499784,0.584815,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,29,0.983173,,,0.500716,0.575148,0.000999,61.6,,,1000,20
B,belief_polarity,29,0.996429,,,0.502368,0.578192,0.000999,51.0,,,1000,20
B,phat,30,0.726736,0.722222,0.708333,0.499658,0.584267,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,30,0.975773,,,0.500625,0.573490,0.000999,61.6,,,1000,20
B,belief_polarity,30,0.998214,,,0.502246,0.578275,0.000999,51.0,,,1000,20
B,phat,31,0.686805,0.680556,0.708333,0.500207,0.586028,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,31,0.975215,,,0.500472,0.572752,0.000999,61.6,,,1000,20
B,belief_polarity,31,0.994643,,,0.502194,0.579059,0.000999,51.0,,,1000,20
B,phat,32,0.677778,0.667708,0.708333,0.499465,0.583669,0.000999,33.0,32.7,2.0,1000,20
B,dt_control,32,0.976257,,,0.500546,0.573872,0.000999,61.6,,,1000,20
