form,arm,trace_i,row,global_index,kind,token_index,value,dt,verdict,phat,proj_vphat_lstar,proj_vp_lstar
A,below_good,0,0,0,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,0,1,1,est_offwin,296,117000.0,-1,correct,-1,17.358448,-3.490367
A,below_good,0,2,2,est,398,12870000.0,-1,correct,-1,22.547718,3.353679
A,below_good,0,3,3,tau_echo,450,15300000.0,,correct,-1,17.378794,-2.163740
A,below_good,0,4,4,final,450,15300000.0,,correct,-1,17.378794,-2.163740
A,below_good,0,5,5,final_corrected,433,12870000.0,,correct,-1,23.148041,15.763231
A,below_good,0,6,6,belief,468,,,correct,-1,8.337260,8.729359
A,below_good,1,7,7,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,1,8,8,est_offwin,288,117239.0,-1,correct,-1,8.658539,2.036603
A,below_good,1,9,9,est,478,35171700.0,1,correct,-1,23.617037,8.119823
A,below_good,1,10,10,tau_echo,504,15300000.0,,correct,-1,14.370898,-3.844029
A,below_good,1,11,11,est,523,35171700.0,1,correct,-1,29.119583,10.950876
A,below_good,1,12,12,final,586,3.0,,correct,-1,13.579914,5.024837
A,below_good,1,13,13,final_corrected,586,3.0,,correct,-1,13.579914,5.024837
A,below_good,1,14,14,belief,618,,,correct,-1,8.092739,4.769370
A,below_good,2,15,15,end_of_prompt,194,,,unclear,,10.686756,6.104009
A,below_good,2,16,16,est_offwin,292,117000.0,-1,unclear,,19.734684,1.969368
A,below_good,2,17,17,est,443,70200000.0,1,unclear,,21.726948,0.693632
A,below_good,2,18,18,tau_echo,460,15300000.0,,unclear,,15.699459,-3.583953
A,below_good,2,19,19,est,475,70200000.0,1,unclear,,27.819611,7.305188
A,below_good,2,20,20,final,516,70200000.0,,unclear,,20.441807,13.798462
A,below_good,2,21,21,final_corrected,516,70200000.0,,unclear,,20.441807,13.798462
A,below_good,3,22,22,end_of_prompt,194,,,correct,-1,10.686756,6.104009
A,below_good,3,23,23,est_offwin,283,117000.0,-1,correct,-1,19.109671,0.942483
A,below_good,3,24,24,est,456,35100000.0,1,correct,-1,22.101620,-3.401119
A,below_good,3,25,25,tau_echo,500,15300000.0,,correct,-1,13.546680,-1.128011
A,below_good,3,26,26,est,523,15000000.0,-1,correct,-1,6.819627,-3.877196
A,below_good,3,27,27,final,523,15000000.0,,correct,-1,6.819627,-3.877196
A,below_good,3,28,28,final_corrected,523,15000000.0,,correct,-1,6.819627,-3.877196
A,below_good,4,29,29,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,4,30,30,est_offwin,263,45000.0,-1,correct,-1,19.832495,-2.211839
A,below_good,4,31,31,est,353,4950000.0,-1,correct,-1,21.152615,-6.007486
A,below_good,4,32,32,tau_echo,396,15300000.0,,correct,-1,19.996374,-5.696465
A,below_good,4,33,33,final,396,15300000.0,,correct,-1,19.996374,-5.696465
A,below_good,4,34,34,final_corrected,378,4950000.0,,correct,-1,22.900358,12.712930
A,below_good,4,35,35,belief,415,,,correct,-1,9.589184,6.247637
A,below_good,5,36,36,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,5,37,37,est_offwin,271,117000.0,-1,correct,-1,19.897696,1.836954
A,below_good,5,38,38,est,418,10530000.0,-1,correct,-1,20.973194,3.336634
A,below_good,5,39,39,tau_echo,475,15300000.0,,correct,-1,19.974907,-2.106513
A,below_good,5,40,40,final,475,15300000.0,,correct,-1,19.974907,-2.106513
A,below_good,5,41,41,final_corrected,455,10530000.0,,correct,-1,21.969723,15.418294
A,below_good,5,42,42,belief,492,,,correct,-1,10.518845,6.183629
A,below_good,6,43,43,end_of_prompt,194,,,correct,-1,10.750615,6.132125
A,below_good,6,44,44,est_offwin,295,117239.0,-1,correct,-1,7.813722,3.138212
A,below_good,6,45,45,est,443,17585850.0,1,correct,-1,19.502655,2.509608
A,below_good,6,46,46,tau_echo,463,15300000.0,,correct,-1,15.900848,-5.435767
A,below_good,6,47,47,est,499,17585850.0,1,correct,-1,18.941505,13.603891
A,below_good,6,48,48,tau_echo,650,15300000.0,,correct,-1,10.909565,2.566495
A,below_good,6,49,49,final,650,15300000.0,,correct,-1,10.909565,2.566495
A,below_good,6,50,50,final_corrected,602,17585850.0,,correct,-1,20.908653,6.029045
A,below_good,7,51,51,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,7,52,52,est_offwin,273,117000.0,-1,correct,-1,18.933760,-3.288604
A,below_good,7,53,53,est,392,17550000.0,1,correct,-1,23.109287,-3.354997
A,below_good,7,54,54,tau_echo,436,15300000.0,,correct,-1,13.721819,-1.419541
A,below_good,7,55,55,final,436,15300000.0,,correct,-1,13.721819,-1.419541
A,below_good,7,56,56,final_corrected,419,17550000.0,,correct,-1,21.587591,13.803750
A,below_good,7,57,57,belief,468,,,correct,-1,4.588677,5.055399
A,below_good,8,58,58,end_of_prompt,194,,,correct,-1,10.687909,6.113922
A,below_good,8,59,59,est_offwin,383,117000.0,-1,correct,-1,25.698280,3.882023
A,below_good,8,60,60,est,392,167000.0,-1,correct,-1,24.998905,-8.971581
A,below_good,8,61,61,est_offwin,404,142000.0,-1,correct,-1,19.039240,2.077245
A,below_good,8,62,62,est,458,17040000.0,1,correct,-1,23.725300,0.260567
A,below_good,8,63,63,tau_echo,480,15300000.0,,correct,-1,15.298992,-1.794780
A,below_good,8,64,64,est,496,17040000.0,1,correct,-1,28.106987,7.986178
A,below_good,8,65,65,est,538,17000000.0,1,correct,-1,9.281260,-0.313970
A,below_good,8,66,66,final,538,17000000.0,,correct,-1,9.281260,-0.313970
A,below_good,8,67,67,final_corrected,538,17000000.0,,correct,-1,9.281260,-0.313970
A,below_good,8,68,68,belief,518,,,correct,-1,9.406769,5.933762
A,below_good,9,69,69,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,9,70,70,est_offwin,284,117239.0,-1,correct,-1,9.214773,3.816302
A,below_good,9,71,71,est,437,17585850.0,1,correct,-1,20.077766,3.432654
A,below_good,9,72,72,tau_echo,454,15300000.0,,correct,-1,13.536622,-2.819467
A,below_good,9,73,73,est,469,17585850.0,1,correct,-1,27.298962,9.906698
A,below_good,9,74,74,final,509,17585850.0,,correct,-1,19.221643,17.657608
A,below_good,9,75,75,final_corrected,509,17585850.0,,correct,-1,19.221643,17.657608
A,below_good,10,76,76,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,10,77,77,est_offwin,252,117239.0,-1,correct,-1,8.395479,1.854121
A,below_good,10,78,78,est,375,12906290.0,-1,correct,-1,17.321709,1.216106
A,below_good,10,79,79,tau_echo,411,15300000.0,,correct,-1,18.221758,-5.181509
A,below_good,10,80,80,final,411,15300000.0,,correct,-1,18.221758,-5.181509
A,below_good,10,81,81,final_corrected,393,12906290.0,,correct,-1,20.767914,13.085842
A,below_good,10,82,82,belief,421,,,correct,-1,10.218630,5.432417
A,below_good,11,83,83,end_of_prompt,194,,,unclear,,10.711992,6.150922
A,below_good,11,84,84,est_offwin,276,117000.0,-1,unclear,,17.277479,-0.204391
A,below_good,11,85,85,est,371,23400000.0,1,unclear,,18.974817,-2.247765
A,below_good,11,86,86,tau_echo,391,15300000.0,,unclear,,12.807695,-1.854733
A,below_good,11,87,87,est,409,23400000.0,1,unclear,,19.553234,12.130960
A,below_good,11,88,88,final,409,23400000.0,,unclear,,19.553234,12.130960
A,below_good,11,89,89,final_corrected,409,23400000.0,,unclear,,19.553234,12.130960
A,below_good,12,90,90,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,12,91,91,est_offwin,277,117000.0,-1,correct,-1,19.341213,1.694897
A,below_good,12,92,92,est,431,9360000.0,-1,correct,-1,21.861511,1.439632
A,below_good,12,93,93,tau_echo,485,15300000.0,,correct,-1,19.939442,-2.639888
A,below_good,12,94,94,final,485,15300000.0,,correct,-1,19.939442,-2.639888
A,below_good,12,95,95,final_corrected,465,9360000.0,,correct,-1,25.010399,16.858494
A,below_good,12,96,96,belief,500,,,correct,-1,9.209948,7.525142
A,below_good,13,97,97,end_of_prompt,194,,,unclear,,10.711992,6.150922
A,below_good,13,98,98,est_offwin,279,117239.0,-1,unclear,,8.697767,2.019435
A,below_good,13,99,99,est,394,18758240.0,1,unclear,,22.514343,2.901539
A,below_good,13,100,100,tau_echo,416,15300000.0,,unclear,,14.178028,-5.549727
A,below_good,13,101,101,est,436,15400000.0,1,unclear,,12.434702,2.039670
A,below_good,13,102,102,final,436,15400000.0,,unclear,,12.434702,2.039670
A,below_good,13,103,103,final_corrected,436,15400000.0,,unclear,,12.434702,2.039670
A,below_good,14,104,104,end_of_prompt,194,,,correct,-1,10.711992,6.150922
A,below_good,14,105,105,est_offwin,377,60000.0,-1,correct,-1,25.284023,1.339157
A,below_good,14,106,106,est,394,9000000.0,-1,correct,-1,17.695150,-8.119267
A,below_good,14,107,107,est_offwin,409,110000.0,-1,correct,-1,22.951317,-1.884730
A,below_good,14,108,108,est,427,16500000.0,1,correct,-1,16.522783,-5.447655
