arm,condition,layer,alpha,direction,null_seed,delta_norm,n,n_truncated,n_degenerate,coherence,n_regex_null,n_judge_null,P_gt_tau_regex_corr,P_gt_tau_regex_raw,P_gt_tau_judge,k_gt_tau_regex_corr,n_nonnull_regex_corr,median_final_regex_corr,median_log10_regex_corr,median_tokens,n_judged,mention_rate,verdict_correct,verdict_incorrect,verdict_unclear,phat_pos,phat_neg,screen_mention_rate,screen_good_first_rate
B_above_L27_ap1,above_good,27,1.0,vphat,,12.726,50,0,0,1.0,0,0,0.52,0.14,0.52,26,50,4950000000.0,9.6946,434,50,1.0,23,11,16,23,11,0.5,0.32
B_above_L27_ap2,above_good,27,2.0,vphat,,25.452,50,0,0,1.0,0,0,0.34,0.08,0.32,17,50,2130000000.0,9.3276,446,50,0.96,14,6,29,14,6,0.28,0.16
B_above_L27_ap4,above_good,27,4.0,vphat,,50.904,50,0,0,1.0,0,0,0.04,0.0,0.04,2,50,6740000.0,6.8283,457,50,0.96,4,3,43,4,3,0.08,0.04
B_above_L27_am1,above_good,27,-1.0,vphat,,12.726,50,0,0,1.0,0,0,0.54,0.3,0.52,27,50,4837500000.0,9.6846,377,50,1.0,18,19,13,18,19,0.28,0.24
B_above_L27_am2,above_good,27,-2.0,vphat,,25.452,50,0,0,1.0,0,0,0.48,0.28,0.46,24,50,4400000000.0,9.6435,358,50,1.0,19,20,11,19,20,0.3,0.28
B_above_L27_am4,above_good,27,-4.0,vphat,,50.904,50,0,0,1.0,0,0,0.24,0.2,0.24,12,50,4000000000.0,9.6021,360,50,0.98,18,13,17,18,13,0.1,0.1
B_above_L30_ap2,above_good,30,2.0,vphat,,30.7475,50,0,0,1.0,0,0,0.34,0.1,0.34,17,50,1937500000.0,9.287,403,50,0.98,28,10,12,28,10,0.5,0.36
B_above_L30_am2,above_good,30,-2.0,vphat,,30.7475,50,0,0,1.0,0,0,0.52,0.24,0.38,26,50,4725000000.0,9.6741,512,50,1.0,14,23,13,14,23,0.14,0.14
B_below_L27_ap2,below_good,27,2.0,vphat,,25.452,50,0,0,1.0,0,0,0.36,0.08,0.4,18,50,2450000000.0,9.3891,454,50,1.0,39,2,9,2,39,0.72,0.52
B_below_L27_am2,below_good,27,-2.0,vphat,,25.452,50,1,0,0.98,0,1,0.38,0.2,0.2653,19,50,4000000000.0,9.6021,373,50,0.98,41,3,6,3,41,0.44,0.42
B_neutral_L27_ap2,baseline,27,2.0,vphat,,25.452,50,0,0,1.0,0,1,0.28,0.28,0.2857,14,50,2197000000.0,9.3401,406,50,0.0,0,0,50,0,0,0.0,0.0
B_neutral_L27_am2,baseline,27,-2.0,vphat,,25.452,50,0,0,1.0,0,0,0.56,0.56,0.62,28,50,7537500000.0,9.8768,300,50,0.0,0,0,50,0,0,0.0,0.0
B_above_sham,above_good,27,0.0,vphat,,0.0,50,0,0,1.0,0,0,0.68,0.24,0.6,34,50,9750000000.0,9.9771,435,50,1.0,27,12,11,27,12,0.38,0.26
B_above_null00,above_good,27,2.0,random,9001,25.452,50,0,0,1.0,0,0,0.42,0.18,0.32,21,50,4000000000.0,9.6021,391,0,,0,0,0,0,0,0.24,0.14
B_above_null01,above_good,27,2.0,random,9002,25.452,50,0,0,1.0,0,0,0.8,0.34,0.78,40,50,16875000000.0,10.2245,435,0,,0,0,0,0,0,0.5,0.42
B_above_null02,above_good,27,2.0,random,9003,25.452,50,0,0,1.0,0,0,0.42,0.2,0.38,21,50,4000000000.0,9.6021,382,0,,0,0,0,0,0,0.48,0.32
B_above_null03,above_good,27,2.0,random,9004,25.452,50,0,0,1.0,0,0,0.46,0.22,0.38,23,50,4400000000.0,9.6435,405,0,,0,0,0,0,0,0.22,0.16
B_above_null04,above_good,27,2.0,random,9005,25.452,50,0,0,1.0,0,0,0.8,0.42,0.78,40,50,20000000000.0,10.3005,354,50,1.0,36,5,9,36,5,0.56,0.54
B_above_null05,above_good,27,2.0,random,9006,25.452,50,0,0,1.0,0,0,0.54,0.12,0.5,27,50,5250000000.0,9.7197,393,0,,0,0,0,0,0,0.48,0.36
B_above_null06,above_good,27,2.0,random,9007,25.452,50,0,0,1.0,0,0,0.58,0.3,0.5,29,50,5250000000.0,9.7197,464,0,,0,0,0,0,0,0.38,0.22
B_above_null07,above_good,27,2.0,random,9008,25.452,50,0,0,1.0,0,0,0.46,0.12,0.4,23,50,3362500000.0,9.5256,421,50,1.0,27,14,9,27,14,0.66,0.42
B_above_null08,above_good,27,2.0,random,9009,25.452,50,0,0,1.0,0,0,0.36,0.24,0.36,18,50,3000000000.0,9.4771,429,0,,0,0,0,0,0,0.38,0.22
B_above_null09,above_good,27,2.0,random,9010,25.452,50,0,0,1.0,0,0,0.38,0.22,0.4,19,50,3100000000.0,9.4911,423,0,,0,0,0,0,0,0.4,0.24
