arm,condition,layer,alpha,direction,null_seed,delta_norm,frac_of_resid_norm,n,n_truncated,n_degenerate,coherence,n_regex_null,n_judge_null,P_gt_tau_regex_corr,P_gt_tau_regex_raw,P_gt_tau_judge,k_gt_tau_regex_corr,n_nonnull_regex_corr,median_final_regex_corr,median_log10_regex_corr,median_tokens,seed_lo,seed_hi
B7b_above_L27_ap05,above_good,27,0.5,vphat,,6.363,0.057,50,0,0,1.0,0,0,0.46,0.24,0.48,23,50,4000000000.0,9.6021,411,9214,9263
B7b_above_L27_ap025,above_good,27,0.25,vphat,,3.1815,0.0285,50,0,0,1.0,0,0,0.46,0.24,0.42,23,50,4350000000.0,9.6385,411,9264,9313
B7b_above_L27_am025,above_good,27,-0.25,vphat,,3.1815,0.0285,50,0,0,1.0,0,0,0.48,0.26,0.46,24,50,4000000000.0,9.6021,411,9314,9363
B7b_above_L27_am05,above_good,27,-0.5,vphat,,6.363,0.057,50,0,0,1.0,0,0,0.36,0.2,0.32,18,50,4000000000.0,9.6021,415,9364,9413
B7b_above_null10_ap05,above_good,27,0.5,random,9011,6.363,0.057,50,0,0,1.0,0,0,0.58,0.22,0.48,29,50,6750000000.0,9.829,434,9414,9463
B7b_above_null10_am05,above_good,27,-0.5,random,9011,6.363,0.057,50,0,0,1.0,0,0,0.38,0.12,0.38,19,50,4000000000.0,9.6021,400,9464,9513
B7b_above_null11_ap05,above_good,27,0.5,random,9012,6.363,0.057,50,0,0,1.0,0,0,0.48,0.28,0.48,24,50,4000000000.0,9.6021,439,9514,9563
B7b_above_null11_am05,above_good,27,-0.5,random,9012,6.363,0.057,50,0,0,1.0,0,0,0.52,0.24,0.46,26,50,6250000000.0,9.7959,392,9564,9613
B7b_above_null12_ap05,above_good,27,0.5,random,9013,6.363,0.057,50,0,0,1.0,0,0,0.6,0.18,0.54,30,50,9625000000.0,9.9771,416,9614,9663
B7b_above_null12_am05,above_good,27,-0.5,random,9013,6.363,0.057,50,0,0,1.0,0,0,0.32,0.1,0.28,16,50,2187500000.0,9.3398,415,9664,9713
B7b_above_null13_ap05,above_good,27,0.5,random,9014,6.363,0.057,50,0,0,1.0,0,0,0.54,0.34,0.54,27,50,5000000000.0,9.699,409,9714,9763
B7b_above_null13_am05,above_good,27,-0.5,random,9014,6.363,0.057,50,0,0,1.0,0,0,0.52,0.3,0.5,26,50,5625000000.0,9.7492,403,9764,9813
